cas,chemical_name,wave,original_selection_status,selection_source,true_cameo_groups,sole_group_of,section10_categories,section10_has_real_evidence,signature_peer_count,signature_rank,unique_risk_pair_types,safety_flag,in_eval_testset_FYI_NOT_USED_IN_DECISION,recommendation,reason
10016-20-3,ALPHA-CYCLODEXTRIN,wave1,UNSUPPORTED,wave1_topup,8,,combustible_reducing;water,True,1,rank_2_of_2,0,NOT_CHECKED,True,MERGE_CANDIDATE,"동일 true_groups=(8,) 물질 2종 중 2순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
102-71-6,TRIETHANOLAMINE,wave1,UNSUPPORTED,wave1_topup,8;14,,combustible_reducing;water,True,1,rank_1_of_2,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"동일 true_groups=(8, 14) 물질 2종 중 §10 근거 최상위(자기 근거 ['combustible_reducing', 'water'])"
100-73-2,"ACROLEIN DIMER, STABILIZED",wave1,UNSUPPORTED,wave1_topup,9;28;34;56,,no_data,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,REVIEW,"true_groups 조합 (9, 28, 34, 56)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
101-39-3,ALPHA-METHYLCINNAMALDEHYDE,wave1,UNSUPPORTED,wave1_topup,9;34;35,,no_data,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,REVIEW,"true_groups 조합 (9, 34, 35)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
101-20-2,TRICLOCARBAN,wave1,UNSUPPORTED,wave1_topup,12;13;16,,no_data,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,REVIEW,"true_groups 조합 (12, 13, 16)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
100-01-6,"P-NITROANILINE, [SOLID]",wave1,UNSUPPORTED,wave1_topup,13;46,,metal,True,1,rank_1_of_2,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"동일 true_groups=(13, 46) 물질 2종 중 §10 근거 최상위(자기 근거 ['metal'])"
100-15-2,N-METHYL-4-NITROANILINE,wave1,UNSUPPORTED,wave1_topup,13;46,,metal,True,1,rank_2_of_2,0,NOT_CHECKED,True,MERGE_CANDIDATE,"동일 true_groups=(13, 46) 물질 2종 중 2순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
100-22-1,"N,N,N&#39;,N&#39;-TETRAMETHYL-P-PHENYLENEDIAMINE",wave1,UNSUPPORTED,wave1_topup,14,,combustible_reducing;metal;water,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"true_groups 조합 (14,)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['combustible_reducing', 'metal', 'water'])"
106-31-0,BUTYRIC ANHYDRIDE,wave1,UNSUPPORTED,wave1_topup,15,,metal;water,True,1,rank_2_of_2,0,NOT_CHECKED,True,MERGE_CANDIDATE,"동일 true_groups=(15,) 물질 2종 중 2순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
100-00-5,P-NITROCHLOROBENZENE,wave1,UNSUPPORTED,wave1_topup,16;46,,no_data,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,REVIEW,"true_groups 조합 (16, 46)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
101-05-3,ANILAZINE,wave1,UNSUPPORTED,wave1_topup,14;16,,no_data,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,REVIEW,"true_groups 조합 (14, 16)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
100-16-3,"4-NITROPHENYLHYDRAZINE, [WETTED WITH NOT LESS THAN 30% WATER BY MASS]",wave1,UNSUPPORTED,wave1_topup,17;46;68,,,False,2,rank_1_of_3,0,NOT_CHECKED,True,REVIEW,"동일 true_groups=(17, 46, 68) 물질 3종 전부 §10 실질근거 없음 — 그중 1순위지만 근거 자체가 빈약"
12136-45-7,POTASSIUM MONOXIDE,wave1,REVIEW,wave1_topup,18,,combustible_reducing;metal;water,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"true_groups 조합 (18,)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['combustible_reducing', 'metal', 'water'])"
100-57-2,PHENYLMERCURIC HYDROXIDE,wave1,UNSUPPORTED,wave1_topup,18;49,,no_data,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,REVIEW,"true_groups 조합 (18, 49)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
11138-49-1,"SODIUM ALUMINATE, SOLUTION",wave1,UNSUPPORTED,wave1_topup,18;68,,combustible_reducing;water,True,4,rank_4_of_5,0,NOT_CHECKED,True,MERGE_CANDIDATE,"동일 true_groups=(18, 68) 물질 5종 중 4순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
12030-88-5,POTASSIUM SUPEROXIDE,wave1,UNSUPPORTED,wave1_topup,18;50,,combustible_reducing;water,True,4,rank_2_of_5,0,NOT_CHECKED,True,MERGE_CANDIDATE,"동일 true_groups=(18, 50) 물질 5종 중 2순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
12031-80-0,LITHIUM PEROXIDE,wave1,UNSUPPORTED,wave1_topup,18;50,,combustible_reducing;water,True,4,rank_3_of_5,0,NOT_CHECKED,True,MERGE_CANDIDATE,"동일 true_groups=(18, 50) 물질 5종 중 3순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
12124-99-1,"AMMONIUM HYDROSULFIDE, SOLUTION",wave1,UNSUPPORTED,wave1_topup,18;19;63;68,,no_data,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,REVIEW,"true_groups 조합 (18, 19, 63, 68)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
1305-62-0,CALCIUM HYDROXIDE,wave1,UNSUPPORTED,wave1_topup,19,,combustible_reducing;water,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"true_groups 조합 (19,)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['combustible_reducing', 'water'])"
1310-61-8,POTASSIUM HYDROSULFIDE,wave1,UNSUPPORTED,wave1_topup,19;63,,water,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"true_groups 조합 (19, 63)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['water'])"
1313-82-2,"SODIUM SULFIDE, ANHYDROUS",wave1,UNSUPPORTED,wave1_topup,19;63;68,,water,True,1,rank_2_of_2,0,NOT_CHECKED,True,MERGE_CANDIDATE,"동일 true_groups=(19, 63, 68) 물질 2종 중 2순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
143-33-9,SODIUM CYANIDE,wave1,UNSUPPORTED,wave1_topup,19;24;68,,metal;water,True,1,rank_1_of_2,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"동일 true_groups=(19, 24, 68) 물질 2종 중 §10 근거 최상위(자기 근거 ['metal', 'water'])"
506-87-6,AMMONIUM CARBONATE,wave1,REVIEW,wave1_topup,21;60,,combustible_reducing;water,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"true_groups 조합 (21, 60)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['combustible_reducing', 'water'])"
1066-33-7,AMMONIUM BICARBONATE,wave1,UNSUPPORTED,wave1_topup,21;61,,combustible_reducing;water,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"true_groups 조합 (21, 61)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['combustible_reducing', 'water'])"
1317-65-3,LIMESTONE,wave1,UNSUPPORTED,wave1_topup,21,,combustible_reducing;water,True,3,rank_1_of_4,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"동일 true_groups=(21,) 물질 4종 중 §10 근거 최상위(자기 근거 ['combustible_reducing', 'water'])"
144-55-8,SODIUM BICARBONATE,wave1,UNSUPPORTED,wave1_topup,21,,combustible_reducing;water,True,3,rank_2_of_4,0,NOT_CHECKED,True,MERGE_CANDIDATE,"동일 true_groups=(21,) 물질 4종 중 2순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
15630-89-4,SODIUM PERCARBONATE,wave1,UNSUPPORTED,wave1_topup,21;50;61,,combustible_reducing;water,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"true_groups 조합 (21, 50, 61)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['combustible_reducing', 'water'])"
3486-35-9,ZINC CARBONATE,wave1,UNSUPPORTED,wave1_topup,21,,no_data,False,3,rank_4_of_4,0,NOT_CHECKED,True,REMOVE_CANDIDATE,"동일 true_groups=(21,) 물질 4종 중 4순위 + §10 실질근거 없음 — 제거해도 coverage 손실 없음"
471-34-1,CALCIUM CARBONATE,wave1,UNSUPPORTED,wave1_topup,21,,combustible_reducing;water,True,3,rank_3_of_4,0,NOT_CHECKED,True,MERGE_CANDIDATE,"동일 true_groups=(21,) 물질 4종 중 3순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
1335-31-5,MERCURIC OXYCYANIDE,wave1,UNSUPPORTED,wave1_topup,24,,no_data,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,REVIEW,"true_groups 조합 (24,)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
101-90-6,DIGLYCIDYL RESORCINOL ETHER,wave1,UNSUPPORTED,wave1_topup,26;28;35,,combustible_reducing;water,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"true_groups 조합 (26, 28, 35)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['combustible_reducing', 'water'])"
105-79-3,ISOBUTYL CAPROATE,wave1,REVIEW,wave1_topup,27,,combustible_reducing;water,True,4,rank_2_of_5,0,NOT_CHECKED,True,MERGE_CANDIDATE,"동일 true_groups=(27,) 물질 5종 중 2순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
10031-87-5,2-ETHYLBUTYL ACETATE,wave1,UNSUPPORTED,wave1_topup,27,,no_data,False,4,rank_3_of_5,0,NOT_CHECKED,True,REMOVE_CANDIDATE,"동일 true_groups=(27,) 물질 5종 중 3순위 + §10 실질근거 없음 — 제거해도 coverage 손실 없음"
102-16-9,BENZYL PHENYLACETATE,wave1,UNSUPPORTED,wave1_topup,27,,no_data,False,4,rank_4_of_5,0,NOT_CHECKED,True,REMOVE_CANDIDATE,"동일 true_groups=(27,) 물질 5종 중 4순위 + §10 실질근거 없음 — 제거해도 coverage 손실 없음"
103-09-3,ETHYLHEXYL ACETATE,wave1,UNSUPPORTED,wave1_topup,27,,no_data,False,4,rank_5_of_5,0,NOT_CHECKED,True,REMOVE_CANDIDATE,"동일 true_groups=(27,) 물질 5종 중 5순위 + §10 실질근거 없음 — 제거해도 coverage 손실 없음"
103-23-1,BIS(2-ETHYLHEXYL) ADIPATE,wave1,UNSUPPORTED,wave1_topup,27,,combustible_reducing;water,True,4,rank_1_of_5,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"동일 true_groups=(27,) 물질 5종 중 §10 근거 최상위(자기 근거 ['combustible_reducing', 'water'])"
1031-07-8,ENDOSULFAN SULFATE,wave1,UNSUPPORTED,wave1_topup,27;31;34,,no_data,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,REVIEW,"true_groups 조합 (27, 31, 34)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
1031-47-6,TRIAMIPHOS,wave1,UNSUPPORTED,wave1_topup,14;17;27,,no_data,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,REVIEW,"true_groups 조합 (14, 17, 27)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
104-46-1,ANETHOLE,wave1,REVIEW,wave1_topup,28;34,,no_data,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,REVIEW,"true_groups 조합 (28, 34)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
108-60-1,BIS(2-CHLORO-1-METHYLETHYL)ETHER,wave1,REVIEW,wave1_topup,28;31,,metal,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"true_groups 조합 (28, 31)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['metal'])"
109-53-5,VINYL ISOBUTYL ETHER,wave1,REVIEW,wave1_topup,28;34;56,,no_data,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,REVIEW,"true_groups 조합 (28, 34, 56)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
109-59-1,ETHYLENE GLYCOL ISOPROPYL ETHER,wave1,REVIEW,wave1_topup,8;28,,no_data,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,REVIEW,"true_groups 조합 (8, 28)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
101-80-4,"4,4&#39;-DIAMINODIPHENYL ETHER",wave1,UNSUPPORTED,wave1_topup,13;28,,no_data,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,REVIEW,"true_groups 조합 (13, 28)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
103-50-4,DIBENZYL ETHER,wave1,UNSUPPORTED,wave1_topup,28,,no_data,False,1,rank_1_of_2,0,NOT_CHECKED,True,REVIEW,"동일 true_groups=(28,) 물질 2종 전부 §10 실질근거 없음 — 그중 1순위지만 근거 자체가 빈약"
12125-01-8,AMMONIUM FLUORIDE,wave1,UNSUPPORTED,wave1_topup,29;60,,combustible_reducing;metal;water,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"true_groups 조합 (29, 60)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['combustible_reducing', 'metal', 'water'])"
1333-83-1,"SODIUM BIFLUORIDE, SOLID",wave1,UNSUPPORTED,wave1_topup,29;60;68,,combustible_reducing;metal;water,True,2,rank_1_of_3,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"동일 true_groups=(29, 60, 68) 물질 3종 중 §10 근거 최상위(자기 근거 ['combustible_reducing', 'metal', 'water'])"
107-04-0,1-CHLORO-2-BROMOETHANE,wave1,REVIEW,wave1_topup,31,,metal,True,1,rank_1_of_2,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"동일 true_groups=(31,) 물질 2종 중 §10 근거 최상위(자기 근거 ['metal'])"
107-81-3,2-BROMOPENTANE,wave1,REVIEW,wave1_topup,31,,,False,1,rank_2_of_2,0,NOT_CHECKED,True,REMOVE_CANDIDATE,"동일 true_groups=(31,) 물질 2종 중 2순위 + §10 실질근거 없음 — 제거해도 coverage 손실 없음"
100-14-1,"BENZENE, 1-(CHLOROMETHYL)-4-NITRO-",wave1,UNSUPPORTED,wave1_topup,31;46,,no_data,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,REVIEW,"true_groups 조합 (31, 46)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
10222-01-2,"2,2-DIBROMO-3-NITRILOPROPIONAMIDE",wave1,UNSUPPORTED,wave1_topup,12;31;45,,no_data,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,REVIEW,"true_groups 조합 (12, 31, 45)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
1024-57-3,HEPTACHLOR EPOXIDE,wave1,UNSUPPORTED,wave1_topup,26;31;34,,no_data,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,REVIEW,"true_groups 조합 (26, 31, 34)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
10311-84-9,DIALIFOR,wave1,UNSUPPORTED,wave1_topup,12;27;31,,no_data,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,REVIEW,"true_groups 조합 (12, 27, 31)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
105-48-6,ISOPROPYL CHLOROACETATE,wave1,UNSUPPORTED,wave1_topup,27;31,,metal;water,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"true_groups 조합 (27, 31)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['metal', 'water'])"
10241-05-1,MOLYBDENUM PENTACHLORIDE,wave1,UNSUPPORTED,wave1_topup,32,,metal;water,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"true_groups 조합 (32,)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['metal', 'water'])"
118-52-5,"1,3-DICHLORO-5,5-DIMETHYLHYDANTOIN",wave1,UNSUPPORTED,wave1_topup,7;32;50,,combustible_reducing;water,True,1,rank_1_of_2,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"동일 true_groups=(7, 32, 50) 물질 2종 중 §10 근거 최상위(자기 근거 ['combustible_reducing', 'water'])"
112-95-8,N-EICOSANE,wave1,UNSUPPORTED,wave1_topup,33,,combustible_reducing;water,True,1,rank_1_of_2,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"동일 true_groups=(33,) 물질 2종 중 §10 근거 최상위(자기 근거 ['combustible_reducing', 'water'])"
12002-43-6,GILSONITE,wave1,UNSUPPORTED,wave1_topup,33;35,,combustible_reducing;water,True,1,rank_1_of_2,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"동일 true_groups=(33, 35) 물질 2종 중 §10 근거 최상위(자기 근거 ['combustible_reducing', 'water'])"
123-01-3,DODECYLBENZENE,wave1,UNSUPPORTED,wave1_topup,33;35,,combustible_reducing;water,True,1,rank_2_of_2,0,NOT_CHECKED,True,MERGE_CANDIDATE,"동일 true_groups=(33, 35) 물질 2종 중 2순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
1333-86-4,CARBON BLACK,wave1,UNSUPPORTED,wave1_topup,33;59,,no_data,False,1,rank_1_of_2,0,NOT_CHECKED,True,REVIEW,"동일 true_groups=(33, 59) 물질 2종 전부 §10 실질근거 없음 — 그중 1순위지만 근거 자체가 빈약"
1338-02-9,COPPER NAPHTHENATE,wave1,UNSUPPORTED,wave1_topup,33;61,,no_data,False,1,rank_2_of_2,0,NOT_CHECKED,True,REMOVE_CANDIDATE,"동일 true_groups=(33, 61) 물질 2종 중 2순위 + §10 실질근거 없음 — 제거해도 coverage 손실 없음"
151-21-3,"DODECYL SULFATE, [SODIUM SALT]",wave1,UNSUPPORTED,wave1_topup,33;61,,combustible_reducing;water,True,1,rank_1_of_2,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"동일 true_groups=(33, 61) 물질 2종 중 §10 근거 최상위(자기 근거 ['combustible_reducing', 'water'])"
105-87-3,GERANYL ACETATE,wave1,REVIEW,wave1_topup,27;34,,no_data,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,REVIEW,"true_groups 조합 (27, 34)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
115-86-6,TRIPHENYL PHOSPHATE,wave1,REVIEW,wave1_topup,27;35,,,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,REVIEW,"true_groups 조합 (27, 35)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
102-08-9,THIOCARBANILIDE,wave1,UNSUPPORTED,wave1_topup,12;35;64,,combustible_reducing;metal;water,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"true_groups 조합 (12, 35, 64)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['combustible_reducing', 'metal', 'water'])"
102-54-5,FERROCENE,wave1,UNSUPPORTED,wave1_topup,35;49,,no_data,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,REVIEW,"true_groups 조합 (35, 49)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
104-72-3,N-DECYLBENZENE,wave1,UNSUPPORTED,wave1_topup,35,,combustible_reducing;water,True,1,rank_1_of_2,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"동일 true_groups=(35,) 물질 2종 중 §10 근거 최상위(자기 근거 ['combustible_reducing', 'water'])"
104-88-1,4-CHLOROBENZALDEHYDE,wave1,UNSUPPORTED,wave1_topup,9;16;35,,combustible_reducing;water,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"true_groups 조합 (9, 16, 35)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['combustible_reducing', 'water'])"
114-49-8,SCOPOLAMINE HYDROBROMIDE,wave1,UNSUPPORTED,wave1_topup,8;26;27;35;60,,combustible_reducing;water,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"true_groups 조합 (8, 26, 27, 35, 60)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['combustible_reducing', 'water'])"
117-39-5,QUERCETIN,wave1,REVIEW,wave1_topup,38;55,,combustible_reducing;metal;water,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"true_groups 조합 (38, 55)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['combustible_reducing', 'metal', 'water'])"
119-53-9,BENZOIN,wave1,REVIEW,manual_addition,8;35;38,,combustible_reducing;water,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"true_groups 조합 (8, 35, 38)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['combustible_reducing', 'water'])"
102-01-2,ACETOACETANILIDE,wave1,UNSUPPORTED,wave1_topup,12;13;38,,combustible_reducing;water,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"true_groups 조합 (12, 13, 38)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['combustible_reducing', 'water'])"
106-51-4,BENZOQUINONE,wave1,UNSUPPORTED,wave1_topup,38,,metal,True,2,rank_1_of_3,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"동일 true_groups=(38,) 물질 3종 중 §10 근거 최상위(자기 근거 ['metal'])"
107-70-0,4-METHOXY-4-METHYLPENTAN-2-ONE,wave1,UNSUPPORTED,wave1_topup,28;38,,no_data,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,REVIEW,"true_groups 조합 (28, 38)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
110-13-4,"2,5-HEXANEDIONE",wave1,UNSUPPORTED,wave1_topup,38,,no_data,False,2,rank_2_of_3,0,NOT_CHECKED,True,REMOVE_CANDIDATE,"동일 true_groups=(38,) 물질 3종 중 2순위 + §10 실질근거 없음 — 제거해도 coverage 손실 없음"
102-67-0,TRIPROPYLALUMINUM,wave1,UNSUPPORTED,wave1_topup,39,,,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,REVIEW,"true_groups 조합 (39,)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
7440-09-7,POTASSIUM,wave1,REVIEW,wave1_topup,40,,no_data,False,4,rank_4_of_5,0,NOT_CHECKED,True,REMOVE_CANDIDATE,"동일 true_groups=(40,) 물질 5종 중 4순위 + §10 실질근거 없음 — 제거해도 coverage 손실 없음"
7439-93-2,LITHIUM,wave1,UNSUPPORTED,wave1_topup,40,,water,True,4,rank_1_of_5,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"동일 true_groups=(40,) 물질 5종 중 §10 근거 최상위(자기 근거 ['water'])"
7439-95-4,MAGNESIUM,wave1,REVIEW,wave1_topup,41,,water,True,18,rank_4_of_19,0,NOT_CHECKED,True,MERGE_CANDIDATE,"동일 true_groups=(41,) 물질 19종 중 4순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
7440-02-0,NICKEL,wave1,REVIEW,wave1_topup,41,,water,True,18,rank_5_of_19,0,NOT_CHECKED,True,MERGE_CANDIDATE,"동일 true_groups=(41,) 물질 19종 중 5순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
7440-21-3,"SILICON POWDER, AMORPHOUS",wave1,REVIEW,wave1_topup,41,,water,True,18,rank_6_of_19,0,NOT_CHECKED,True,MERGE_CANDIDATE,"동일 true_groups=(41,) 물질 19종 중 6순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
7440-25-7,TANTALUM (METAL AND OXIDE DUST),wave1,REVIEW,wave1_topup,41,,water,True,18,rank_7_of_19,0,NOT_CHECKED,True,MERGE_CANDIDATE,"동일 true_groups=(41,) 물질 19종 중 7순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
7429-90-5,"ALUMINUM POWDER, COATED",wave1,UNSUPPORTED,wave1_topup,41,,water,True,18,rank_2_of_19,0,NOT_CHECKED,True,MERGE_CANDIDATE,"동일 true_groups=(41,) 물질 19종 중 2순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
7439-89-6,"IRON, [POWDERED]",wave1,UNSUPPORTED,wave1_topup,41,,water,True,18,rank_3_of_19,0,NOT_CHECKED,True,MERGE_CANDIDATE,"동일 true_groups=(41,) 물질 19종 중 3순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
10112-91-1,MERCUROUS CHLORIDE,wave1,UNSUPPORTED,wave1_topup,42;47,,combustible_reducing;metal;water,True,4,rank_1_of_5,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"동일 true_groups=(42, 47) 물질 5종 중 §10 근거 최상위(자기 근거 ['combustible_reducing', 'metal', 'water'])"
10124-48-8,MERCURY AMMONIUM CHLORIDE,wave1,UNSUPPORTED,wave1_topup,42;47,,no_data,False,4,rank_4_of_5,0,NOT_CHECKED,True,REMOVE_CANDIDATE,"동일 true_groups=(42, 47) 물질 5종 중 4순위 + §10 실질근거 없음 — 제거해도 coverage 손실 없음"
10294-26-5,SILVER SULFATE,wave1,UNSUPPORTED,wave1_topup,42;47,,no_data,False,4,rank_5_of_5,0,NOT_CHECKED,True,REMOVE_CANDIDATE,"동일 true_groups=(42, 47) 물질 5종 중 5순위 + §10 실질근거 없음 — 제거해도 coverage 손실 없음"
1191-80-6,MERCURY OLEATE,wave1,UNSUPPORTED,wave1_topup,34;42;51;61,,no_data,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,REVIEW,"true_groups 조합 (34, 42, 51, 61)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
1304-82-1,BISMUTH TELLURIDE,wave1,UNSUPPORTED,wave1_topup,42,,no_data,False,13,rank_10_of_14,0,NOT_CHECKED,True,REMOVE_CANDIDATE,"동일 true_groups=(42,) 물질 14종 중 10순위 + §10 실질근거 없음 — 제거해도 coverage 손실 없음"
104-85-8,P-TOLUNITRILE,wave1,UNSUPPORTED,wave1_topup,45,,no_data,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,REVIEW,"true_groups 조합 (45,)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
