cas_number,chemical_name,group_id,group_name,source,course,experiment
1111-78-0,AMMONIUM CARBAMATE,,,phase4_add_confirmed,,
112-02-7,HEXADECYLTRIMETHYLAMMONIUM CHLORIDE,57,Quaternary Ammonium and Phosphonium Salts,pool_supplement,,
112-95-8,N-EICOSANE,33,"Hydrocarbons, Aliphatic Saturated",pool_supplement,,
1120-71-4,PROPANE SULTONE,4,"Acids, Strong Oxidizing",pool_supplement,,
1129-41-5,METOLCARB,,,phase4_add_confirmed,,
114-49-8,SCOPOLAMINE HYDROBROMIDE,35,"Hydrocarbons, Aromatic",pool_topup,,
115-19-5,2-METHYL-2-HYDROXY-3-BUTYNE,10,"Alkynes, with Acetylenic Hydrogen",pool_supplement,,
115-86-6,트리페닐 포스페이트,35,"Hydrocarbons, Aromatic",pool_replacement,,
117-39-5,케르세틴(QUERCETIN),38,Ketones,pool_replacement_v2,,
117-80-6,DICHLONE,68,Water and Aqueous Solutions,reaction_frequency_high,,
118-52-5,"1,3-DICHLORO-5,5-DIMETHYLHYDANTOIN",32,Halogenating Agents,pool_supplement,,
118-96-7,"TNT, WETTED WITH NOT LESS THAN 30% WATER",68,Water and Aqueous Solutions,reaction_frequency_high,,
1185-81-5,DIBUTYLTIN-BIS(LAURYL MERCAPTIDE),63,"Sulfides, Inorganic",pool_supplement,,
119-53-9,벤조인,38,Ketones,pool_replacement_v3_manual,,
1191-80-6,MERCURY OLEATE,42,"Metals, Less Reactive agents",pool_supplement,,
1194-65-6,DICHLOBENIL,68,Water and Aqueous Solutions,reaction_frequency_high,,
12002-43-6,GILSONITE,33,"Hydrocarbons, Aliphatic Saturated",pool_supplement,,
12035-72-2,NICKEL SUBSULFIDE,63,"Sulfides, Inorganic",pool_supplement,,
12057-74-8,MAGNESIUM PHOSPHIDE,44,"Nitrides, Phosphides, Carbides, and Silicides",pool_supplement,,
121-17-5,4-클로로-3-나이트로벤조트리플루오르화물,30,Fluorinated Organic Compounds,pool_replacement,,
121-54-0,BENZETHONIUM CHLORIDE,,,phase4_add_confirmed,,
121-82-4,"CYCLOTRIMETHYLENE TRINITRAMINE, [DESENSITIZED]",68,Water and Aqueous Solutions,reaction_frequency_high,,
12124-99-1,"AMMONIUM HYDROSULFIDE, SOLUTION",19,"Bases, Weak",pool_supplement,,
12125-01-8,AMMONIUM FLUORIDE,29,"Fluoride Salts, Soluble",pool_supplement,,
12136-45-7,산화 칼륨,18,"Bases, Strong",pool_replacement,,
122-66-7,"1,2-DIPHENYLHYDRAZINE",58,"Reducing Agents, Strong",reaction_frequency_high,,
12262-58-7,"CYCLOHEXANONE PEROXIDE, NOT MORE THAN 72% IN SOLUTION",68,Water and Aqueous Solutions,reaction_frequency_high,,
124-09-4,"HEXAMETHYLENEDIAMINE, SOLID",68,Water and Aqueous Solutions,reaction_frequency_high,,
124-38-9,CARBON DIOXIDE,5,"Acids, Weak",reactive_basics_tier2,,
124-64-1,TETRAKIS(HYDROXYMETHYL)PHOSPHONIUM CHLORIDE,,,phase4_add_confirmed,,
127-69-5,SULFISOXAZOLE,,,phase4_add_confirmed,,
1271-19-8,TITANOCENE DICHLORIDE,3,"Acids, Strong Non-oxidizing",pool_topup,,
1271-28-9,니켈로센,49,Organometallics,pool_replacement_v2,,
128-03-0,POTASSIUM DIMETHYLDITHIOCARBAMATE,68,Water and Aqueous Solutions,reaction_frequency_high,,
129-17-9,SULFAN BLUE,,,phase4_add_confirmed,,
13007-92-6,크롬 카보닐(CHROMIUM CARBONYL),49,Organometallics,pool_replacement_v3_manual,,
1303-28-2,ARSENIC PENTOXIDE,51,"Oxidizing Agents, Weak",pool_supplement,,
1305-62-0,CALCIUM HYDROXIDE,19,"Bases, Weak",pool_supplement,,
131-52-2,SODIUM PENTACHLOROPHENATE,54,Phenolic Salts,pool_supplement,,
131-74-8,"AMMONIUM PICRATE, WETTED WITH NOT LESS THAN 10% WATER",68,Water and Aqueous Solutions,reaction_frequency_high,,
1310-58-3,"POTASSIUM HYDROXIDE, SOLUTION",18,"Bases, Strong",curated_curriculum,일반화학,적정/전해질
1310-61-8,POTASSIUM HYDROSULFIDE,19,"Bases, Weak",pool_supplement,,
1310-73-2,SODIUM HYDROXIDE SOLUTION,18,"Bases, Strong",curated_curriculum,일반화학,적정/비누화
1312-03-4,"MERCURIC SUBSULFATE, [SOLID]",51,"Oxidizing Agents, Weak",pool_supplement,,
1312-73-8,"POTASSIUM SULFIDE, HYDRATED, WITH NOT LESS THAN 30% WATER OF CRYSTALLIZATION",68,Water and Aqueous Solutions,reaction_frequency_high,,
1317-65-3,LIMESTONE,21,Carbonate Salts,pool_supplement,,
132259-10-0,"압축된 공기, 호흡하는 공기(COMPRESSED AIR, BREATHING AIR)",51,"Oxidizing Agents, Weak",pool_replacement,,
1327-53-3,ARSENIC TRIOXIDE,59,"Reducing Agents, Weak",reaction_frequency_high,,
1333-74-0,HYDROGEN,59,"Reducing Agents, Weak",reactive_basics_tier2,,
1333-82-0,"CHROMIUM TRIOXIDE, ANHYDROUS",50,"Oxidizing Agents, Strong",reaction_frequency_high,,
1333-83-1,"SODIUM BIFLUORIDE, SOLID",29,"Fluoride Salts, Soluble",pool_supplement,,
1333-86-4,CARBON BLACK,33,"Hydrocarbons, Aliphatic Saturated",pool_supplement,,
1335-31-5,MERCURIC OXYCYANIDE,24,"Cyanides, Inorganic",pool_supplement,,
1336-21-6,AMMONIUM HYDROXIDE,19,"Bases, Weak",curated_curriculum,일반화학,착물형성/완충
1344-00-9,규화알루미늄산 나트륨(SODIUM SILICOALUMINATE),62,Siloxanes,pool_replacement_v2,,
13446-10-1,AMMONIUM PERMANGANATE,50,"Oxidizing Agents, Strong",reaction_frequency_high,,
137-41-7,POTASSIUM N-METHYLDITHIOCARBAMATE,68,Water and Aqueous Solutions,reaction_frequency_high,,
137-42-8,"METAM SODIUM (COMPOUNDS, WEED, KILLING, LIQUID)",68,Water and Aqueous Solutions,reaction_frequency_high,,
13718-26-8,SODIUM VANADATE,51,"Oxidizing Agents, Weak",reaction_frequency_high,,
13718-59-7,BARIUM SELENITE,65,Sulfite and Thiosulfate Salts,pool_supplement,,
13774-25-9,MAGNESIUM BISULFITE SOLUTION,65,Sulfite and Thiosulfate Salts,pool_supplement,,
13814-96-5,LEAD FLUOBORATE,68,Water and Aqueous Solutions,reaction_frequency_high,,
13826-88-5,ZINC FLUOROBORATE,68,Water and Aqueous Solutions,reaction_frequency_high,,
13983-17-0,WOLLASTONITE,19,"Bases, Weak",pool_supplement,,
140-08-9,TRIS(2-CHLOROETHYL)PHOSPHITE,59,"Reducing Agents, Weak",reaction_frequency_high,,
