candidate,label,n_substances,n_section_chunks_2_10,independent_evidence_ratio,unsupported_ratio,duplicate_signature_ratio,group_coverage,scarce_group_leq2_count,s10_water_pct,s10_combustible_reducing_pct,s10_metal_pct,s10_no_data_pct,strict_Recall_at_10,strict_MRR,strict_nDCG_at_10,strict_Hit_at_10,n_kept_of_150,source_phase
A,426 baseline,426,893,0.120,0.298,0.669,67/68,13,0.589,0.474,0.232,0.362,0.4550,0.3849,0.3495,0.7667,150,Phase1
B,259 proposed (Phase4),259,545,0.703,0.000,0.236,67/68,9,0.579,0.506,0.278,0.359,0.1603,0.1316,0.1253,0.2333,36,Phase4
C,301 = 259+RETAIN_RETRIEVAL42,301,629,NOT_RECOMPUTED,NOT_RECOMPUTED,NOT_RECOMPUTED,67/68,9,NOT_RECOMPUTED,NOT_RECOMPUTED,NOT_RECOMPUTED,NOT_RECOMPUTED,0.2013,0.1561,0.1533,0.3067,51,Phase6
D,354 = C+REVIEW_SUPPORTED53,354,738,NOT_RECOMPUTED,NOT_RECOMPUTED,NOT_RECOMPUTED,NOT_RECOMPUTED,NOT_RECOMPUTED,NOT_RECOMPUTED,NOT_RECOMPUTED,NOT_RECOMPUTED,NOT_RECOMPUTED,0.4143,0.3440,0.3188,0.6533,112,Phase7
