cas,chemical_name,n_tested,hit_rate_10,status
6487-48-5,POTASSIUM OXALATE MONOHYDRATE,0,,REVIEW_NOT_TESTED
7681-11-0,POTASSIUM IODIDE,0,,REVIEW_NOT_TESTED
1341-49-7,"AMMONIUM BIFLUORIDE, SOLID",1,0.0,REVIEW_UNSUPPORTED
7789-29-9,POTASSIUM BIFLUORIDE,2,1.0,REVIEW_SUPPORTED
13780-03-5,"CALCIUM HYDROGEN SULFITE, SOLUTION",2,0.0,REVIEW_UNSUPPORTED
7631-90-5,SODIUM BISULFITE,3,0.6666666666666666,REVIEW_SUPPORTED
7773-03-7,POTASSIUM BISULFITE SOLUTION,0,,REVIEW_NOT_TESTED
14708-14-6,NICKEL FLUOROBORATE,1,1.0,REVIEW_SUPPORTED
38465-60-0,COPPER FLUOROBORATE,2,0.5,REVIEW_SUPPORTED
151-50-8,POTASSIUM CYANIDE,2,0.5,REVIEW_SUPPORTED
16961-83-4,FLUOROSILICIC ACID,1,1.0,REVIEW_SUPPORTED
3025-88-5,"2,5-DIMETHYL-2,5-DIHYDROPEROXY HEXANE, NOT MORE THAN 82% WITH WATER",3,1.0,REVIEW_SUPPORTED
7783-18-8,AMMONIUM THIOSULFATE,1,1.0,REVIEW_SUPPORTED
7788-97-8,"CHROMIC FLUORIDE, SOLID",1,0.0,REVIEW_UNSUPPORTED
