cas_number,name_ko,name_en,core_axis,kosha,cid,registry_formula,pubchem_formula,status,group_ids,group_names,note
7440-60-0,홀뮴,Holmium,periodic_element,False,23988,Ho,Ho,NO_CAMEO_GROUP,,,
7440-68-8,아스타틴,Astatine,periodic_element,False,5460480,At,At2,NO_CAMEO_GROUP,,,
7440-71-3,캘리포늄,Californium,periodic_element,False,23997,Cf,Cf,NO_CAMEO_GROUP,,,
7440-72-4,페르뮴,Fermium,periodic_element,False,23998,Fm,Fm,NO_CAMEO_GROUP,,,
7440-73-5,프랑슘,Francium,periodic_element,False,6328145,Fr,Fr,NO_CAMEO_GROUP,,,
87658-56-8,테네신,Tennessine,periodic_element,False,,Ts,,NO_CID,,,
77-09-8,페놀프탈레인,,educational,True,,,,ALREADY_WRITTEN,27;55,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters | Phenols and Cresols",
109-99-9,테트라하이드로퓨란,,fundamental,True,,,,ALREADY_WRITTEN,28,Ethers,
141-78-6,아세트산에틸,,fundamental,True,,,,ALREADY_WRITTEN,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",
630-08-0,일산화탄소,,fundamental,True,,,,ALREADY_WRITTEN,59,"Reducing Agents, Weak",
67-56-1,메탄올,,fundamental,True,,,,ALREADY_WRITTEN,8,Alcohols and Polyols,
67-63-0,아이소프로필알코올,,fundamental,True,,,,ALREADY_WRITTEN,8,Alcohols and Polyols,
68-12-2,"N,N-다이메틸폼아마이드",,fundamental,True,,,,ALREADY_WRITTEN,12,Amides and Imides,
71-43-2,벤젠,,fundamental,True,,,,ALREADY_WRITTEN,35,"Hydrocarbons, Aromatic",
74-82-8,메탄,,fundamental,True,,,,ALREADY_WRITTEN,33,"Hydrocarbons, Aliphatic Saturated",
75-05-8,아세토나이트릴,,fundamental,True,,,,ALREADY_WRITTEN,45,Nitriles,
75-09-2,다이클로로메테인,,fundamental,True,,,,ALREADY_WRITTEN,31,Halogenated Organic Compounds,
7601-90-3,과염소산,,fundamental,True,,,,ALREADY_WRITTEN,4;68,"Acids, Strong Oxidizing | Water and Aqueous Solutions",
7664-39-3,불화수소,,fundamental,True,,,,ALREADY_WRITTEN,5;29;68,"Acids, Weak | Fluoride Salts, Soluble | Water and Aqueous Solutions",
7439-97-6,수은,,periodic_element,True,,,,ALREADY_WRITTEN,42,"Metals, Less Reactive agents",
