cas_number,name_ko,core_axis,origin,kosha,msds,indexed,cameo,cameo_groups,cameo_source,s10_specific_chars,s10_thin,tier,tier_code
7440-72-4,페르뮴,periodic_element,CORE207,False,False,False,False,,,0,True,X · KOSHA 미등재,X
7440-73-5,프랑슘,periodic_element,CORE207,False,False,False,False,,,0,True,X · KOSHA 미등재,X
7440-74-6,인듐,periodic_element,CORE207,True,True,True,True,"Metals, Elemental and Powder, Active",CAMEO_scrape,319,False,A · 계약 4조건 전부 충족,A
7446-70-0,염화알루미늄(무수),practical,CORE207,True,True,True,True,"Acids, Strong Non-oxidizing | Halogenating Agents | Water and Aqueous Solutions",CAMEO_scrape,339,False,A · 계약 4조건 전부 충족,A
7447-40-7,염화칼륨,educational,CORE207,True,True,True,True,Non-Redox-Active Inorganic Compounds,CAMEO_scrape,156,False,A · 계약 4조건 전부 충족,A
7487-94-7,염화수은(II),practical,add_2026-08-22,True,True,True,True,"Metals, Less Reactive agents | Salts, Acidic",CAMEO_scrape,248,False,A · 계약 4조건 전부 충족,A
75-05-8,아세토나이트릴,fundamental,add_2026-08-22,True,True,True,True,Nitriles,pubchem_cameo_2026-08-22,355,False,A · 계약 4조건 전부 충족,A
75-09-2,다이클로로메테인,fundamental,add_2026-08-22,True,True,True,True,Halogenated Organic Compounds,pubchem_cameo_2026-08-22,201,False,A · 계약 4조건 전부 충족,A
75-78-5,다이메틸다이클로로실란,representative,add_2026-08-22,True,True,True,True,Chlorosilanes,pubchem_cameo_2026-08-22,463,False,A · 계약 4조건 전부 충족,A
7553-56-2,아이오딘,periodic_element,CORE207,True,True,True,True,"Oxidizing Agents, Weak",CAMEO_scrape,24,True,A · 계약 4조건 전부 충족,A
7601-90-3,과염소산,fundamental,add_2026-08-22,True,True,True,True,"Acids, Strong Oxidizing | Water and Aqueous Solutions",pubchem_cameo_2026-08-22,521,False,A · 계약 4조건 전부 충족,A
7631-90-5,아황산수소나트륨,practical,CORE207,True,True,True,True,Sulfite and Thiosulfate Salts | Water and Aqueous Solutions,CAMEO_scrape,253,False,A · 계약 4조건 전부 충족,A
7632-00-0,아질산나트륨,representative,CORE207,True,True,True,True,"Nitrate and Nitrite Compounds, Inorganic | Water and Aqueous Solutions",CAMEO_scrape,415,False,A · 계약 4조건 전부 충족,A
7646-69-7,수소화나트륨,representative,add_2026-08-22,True,True,True,True,"Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes",CAMEO_scrape,401,False,A · 계약 4조건 전부 충족,A
7646-85-7,염화아연,practical,CORE207,True,True,True,True,"Acids, Strong Non-oxidizing | Water and Aqueous Solutions",CAMEO_scrape,253,False,A · 계약 4조건 전부 충족,A
7647-01-0,염화수소,fundamental,CORE207,True,True,True,True,"Acids, Strong Non-oxidizing | Water and Aqueous Solutions","manual_classification_verified,pubchem_verified",194,False,A · 계약 4조건 전부 충족,A
7647-14-5,염화나트륨,representative,CORE207,True,True,False,False,,,177,False,C · CAMEO 매핑 결여,C
7664-38-2,인산,fundamental,add_2026-08-22,True,True,True,True,"Acids, Weak",CAMEO_scrape,0,True,A · 계약 4조건 전부 충족,A
7664-39-3,불화수소,fundamental,CORE207,True,True,True,True,"Acids, Weak | Fluoride Salts, Soluble | Water and Aqueous Solutions",pubchem_cameo_2026-08-22,184,False,A · 계약 4조건 전부 충족,A
7664-41-7,암모니아,fundamental,CORE207,True,True,True,True,"Bases, Weak | Water and Aqueous Solutions",pubchem_verified,269,False,A · 계약 4조건 전부 충족,A
7664-93-9,황산,fundamental,CORE207,True,True,True,True,"Acids, Strong Oxidizing",CAMEO_scrape,348,False,A · 계약 4조건 전부 충족,A
7681-11-0,아이오딘화칼륨,educational,CORE207,True,True,True,True,"Reducing Agents, Weak | Salts, Basic",CAMEO_scrape,151,False,A · 계약 4조건 전부 충족,A
7681-38-1,황산수소나트륨,practical,CORE207,True,True,True,True,"Salts, Acidic | Water and Aqueous Solutions",CAMEO_scrape,253,False,A · 계약 4조건 전부 충족,A
7681-49-4,불화나트륨,practical,CORE207,True,True,True,True,"Salts, Basic | Water and Aqueous Solutions",CAMEO_scrape,268,False,A · 계약 4조건 전부 충족,A
7697-37-2,질산,fundamental,CORE207,True,True,True,True,"Acids, Strong Oxidizing",manual_classification_verified,411,False,A · 계약 4조건 전부 충족,A
77-09-8,페놀프탈레인,educational,add_2026-08-22,True,True,True,True,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters | Phenols and Cresols",pubchem_cameo_2026-08-22,191,False,A · 계약 4조건 전부 충족,A
7704-34-9,황,periodic_element,CORE207,True,True,True,True,"Reducing Agents, Strong",CAMEO_scrape,279,False,A · 계약 4조건 전부 충족,A
7705-08-0,염화철(III),educational,CORE207,True,True,True,True,"Acids, Strong Non-oxidizing | Water and Aqueous Solutions",CAMEO_scrape,255,False,A · 계약 4조건 전부 충족,A
7722-64-7,과망가니즈산칼륨,representative,CORE207,True,True,True,True,"Oxidizing Agents, Strong",CAMEO_scrape,0,True,A · 계약 4조건 전부 충족,A
7722-84-1,과산화수소,fundamental,CORE207,True,True,True,True,"Oxidizing Agents, Strong | Water and Aqueous Solutions","manual_classification_verified,pubchem_verified",0,True,A · 계약 4조건 전부 충족,A
7723-14-0,인,periodic_element,CORE207,True,True,True,True,"Reducing Agents, Strong | Reducing Agents, Weak | Water and Aqueous Solutions",pubchem_cameo_2026-08-22,487,False,A · 계약 4조건 전부 충족,A
7726-95-6,브로민,periodic_element,CORE207,True,True,True,True,"Halogenating Agents | Oxidizing Agents, Strong | Water and Aqueous Solutions",pubchem_cameo_2026-08-22,248,False,A · 계약 4조건 전부 충족,A
7727-21-1,과황산칼륨,practical,CORE207,True,True,True,True,"Oxidizing Agents, Strong",CAMEO_scrape,27,False,A · 계약 4조건 전부 충족,A
7727-37-9,질소,periodic_element,CORE207,True,True,True,True,Not Chemically Reactive agents,CAMEO_scrape,76,False,A · 계약 4조건 전부 충족,A
7727-54-0,과황산암모늄,practical,CORE207,True,True,True,True,"Oxidizing Agents, Strong | Salts, Acidic",CAMEO_scrape,447,False,A · 계약 4조건 전부 충족,A
7732-18-5,물,fundamental,CORE207,True,True,True,True,Water and Aqueous Solutions,CAMEO_scrape,41,False,A · 계약 4조건 전부 충족,A
7757-79-1,질산칼륨,representative,CORE207,True,True,True,True,"Nitrate and Nitrite Compounds, Inorganic",CAMEO_scrape,415,False,A · 계약 4조건 전부 충족,A
7758-19-2,아염소산나트륨,practical,CORE207,True,True,True,True,"Oxidizing Agents, Strong | Salts, Basic",CAMEO_scrape,466,False,A · 계약 4조건 전부 충족,A
7758-94-3,염화철(II),practical,CORE207,True,True,True,True,"Reducing Agents, Strong | Water and Aqueous Solutions",CAMEO_scrape,253,False,A · 계약 4조건 전부 충족,A
7758-98-7,황산구리,representative,CORE207,True,True,True,True,"Salts, Acidic",CAMEO_scrape,12,True,A · 계약 4조건 전부 충족,A
7761-88-8,질산은,representative,CORE207,True,True,True,True,"Nitrate and Nitrite Compounds, Inorganic",CAMEO_scrape,430,False,A · 계약 4조건 전부 충족,A
7772-98-7,싸이오황산나트륨,educational,CORE207,True,True,True,True,Sulfite and Thiosulfate Salts,manual_classification_verified,156,False,A · 계약 4조건 전부 충족,A
7772-99-8,염화주석(II),practical,CORE207,True,True,True,True,"Reducing Agents, Strong | Salts, Acidic",CAMEO_scrape,253,False,A · 계약 4조건 전부 충족,A
7775-09-9,염소산나트륨,practical,CORE207,True,True,True,True,"Oxidizing Agents, Strong | Water and Aqueous Solutions",CAMEO_scrape,471,False,A · 계약 4조건 전부 충족,A
7778-50-9,중크롬산칼륨,representative,CORE207,True,True,True,True,"Oxidizing Agents, Strong | Salts, Basic",CAMEO_scrape,0,True,A · 계약 4조건 전부 충족,A
7778-54-3,차아염소산칼슘,practical,CORE207,True,True,True,True,"Oxidizing Agents, Strong | Salts, Basic | Water and Aqueous Solutions",CAMEO_scrape,405,False,A · 계약 4조건 전부 충족,A
7778-66-7,차아염소산칼륨 용액,practical,CORE207,True,True,True,True,"Oxidizing Agents, Strong | Salts, Basic | Water and Aqueous Solutions",CAMEO_scrape,268,False,A · 계약 4조건 전부 충족,A
7782-41-4,불소,periodic_element,CORE207,True,True,True,True,"Halogenating Agents | Oxidizing Agents, Strong",pubchem_cameo_2026-08-22,10,True,A · 계약 4조건 전부 충족,A
7782-44-7,산소,periodic_element,CORE207,True,True,True,True,"Oxidizing Agents, Strong",CAMEO_scrape,303,False,A · 계약 4조건 전부 충족,A
7782-49-2,셀레늄,periodic_element,CORE207,True,True,True,True,"Metals, Elemental and Powder, Active",CAMEO_scrape,199,False,A · 계약 4조건 전부 충족,A
7782-50-5,염소,periodic_element,CORE207,True,True,True,True,"Halogenating Agents | Oxidizing Agents, Strong",pubchem_cameo_2026-08-22,439,False,A · 계약 4조건 전부 충족,A
7786-81-4,황산니켈(II),educational,CORE207,True,True,True,True,"Salts, Acidic",CAMEO_scrape,248,False,A · 계약 4조건 전부 충족,A
7789-00-6,크로뮴산칼륨,educational,CORE207,True,True,True,True,"Oxidizing Agents, Strong | Salts, Basic",CAMEO_scrape,200,False,A · 계약 4조건 전부 충족,A
78-93-3,메틸에틸케톤,practical,add_2026-08-22,True,True,True,True,Ketones,pubchem_cameo_2026-08-22,339,False,A · 계약 4조건 전부 충족,A
79-06-1,아크릴아마이드,practical,CORE207,True,True,True,True,Acrylates and Acrylic Acids | Amides and Imides | Polymerizable Compounds | Water and Aqueous Solutions,CAMEO_scrape,243,False,A · 계약 4조건 전부 충족,A
8049-17-0,페로실리콘,practical,add_2026-08-22,True,True,True,True,"Metals, Elemental and Powder, Active",CAMEO_scrape,388,False,A · 계약 4조건 전부 충족,A
87658-56-8,테네신,periodic_element,CORE207,False,False,False,False,,,0,True,X · KOSHA 미등재,X
94-36-0,과산화벤조일,representative,CORE207,True,True,True,True,"Peroxides, Organic",CAMEO_scrape,412,False,A · 계약 4조건 전부 충족,A
98-88-4,벤조일 클로라이드,representative,add_2026-08-22,True,True,True,True,"Acyl Halides, Sulfonyl Halides, and Chloroformates",pubchem_cameo_2026-08-22,334,False,A · 계약 4조건 전부 충족,A
98-95-3,나이트로벤젠,representative,add_2026-08-22,True,True,True,True,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",pubchem_cameo_2026-08-22,141,False,A · 계약 4조건 전부 충족,A
