cas_number,registry_name_ko,registry_name_en,rag_chunk_name,kosha_name,chem_id,kosha_last_date,status,detail,name_differs
7440-74-6,인듐,Indium,인듐,인듐,000660,2025-08-08,matched,cache,False
7446-08-4,이산화 셀레늄,SELENIUM DIOXIDE,이산화 셀레늄,이산화 셀레늄,015343,2025-12-02,matched,cache,False
7446-70-0,염화 알루미늄,"ALUMINUM CHLORIDE, ANHYDROUS",염화 알루미늄,염화 알루미늄,000664,2025-12-02,matched,cache,False
7447-40-7,염화칼륨,POTASSIUM CHLORIDE,염화칼륨,염화칼륨,015358,2025-08-08,matched,cache,False
7487-94-7,염화 수은,MERCURIC CHLORIDE,염화 수은,염화 수은,000666,2025-12-02,matched,cache,False
7553-56-2,아이오딘,Iodine,요오드,요오드,001121,2025-08-08,matched,cache,True
76-03-9,트리클로로아세트산,TRICHLOROACETIC ACID,트리클로로아세트산,트리클로로아세트산,001056,2025-09-17,matched,cache,False
7631-90-5,소디움 비설파이트,SODIUM BISULFITE,소디움 비설파이트,소디움 비설파이트,000671,2025-08-08,matched,cache,False
7632-00-0,아질산나트륨,Sodium nitrite,아질산 나트륨,아질산 나트륨,000673,2025-11-25,matched,cache,True
7646-85-7,염화 아연 흄,"ZINC CHLORIDE, ANHYDROUS",염화 아연 흄,염화 아연 흄,000676,2025-08-08,matched,cache,False
7647-01-0,염화수소,Hydrogen chloride,염화수소,염화수소,001173,2025-11-25,matched,cache,False
7647-14-5,염화나트륨,Sodium chloride,,염화 나트륨(SODIUM CHLORIDE),015664,2025-08-08,matched,cache,True
7664-39-3,불화수소,Hydrogen fluoride,,불화수소,001155,2025-08-08,matched,cache,False
7664-41-7,암모니아,Ammonia,암모니아,암모니아,001174,2025-08-08,matched,cache,False
7664-93-9,황산,Sulfuric acid,황산,황산,001049,2025-08-08,matched,cache,False
7681-38-1,이황산 나트륨(SODIUM BISULFATE),"SODIUM BISULFATE, SOLID",이황산 나트륨(SODIUM BISULFATE),이황산 나트륨(SODIUM BISULFATE),015713,2025-08-08,matched,cache,False
7681-49-4,불화 나트륨,SODIUM FLUORIDE,불화 나트륨,불화 나트륨,000678,2025-08-08,matched,cache,False
7697-37-2,질산,Nitric acid,질산,질산,001052,2025-08-08,matched,cache,False
7704-34-9,황,Sulfur,황(SULFUR),황(SULFUR),015761,2025-08-08,matched,cache,True
7705-08-0,"염화 제2철, 고체, 무수",FERRIC CHLORIDE,"염화 제2철, 고체, 무수","염화 제2철, 고체, 무수",000682,2025-08-08,matched,cache,False
7722-64-7,과망가니즈산칼륨,Potassium permanganate,과망간산칼륨,과망간산칼륨,000686,2025-08-08,matched,cache,True
7722-84-1,과산화수소,Hydrogen peroxide,과산화수소,과산화수소,001015,2025-08-08,matched,cache,False
7723-14-0,인,Phosphorus,,인,000688,2025-08-08,matched,cache,False
7726-95-6,브로민,Bromine,,브롬,001017,2025-08-08,matched,cache,True
7727-37-9,질소,Nitrogen,질소(NITROGEN),질소(NITROGEN),015812,2025-08-08,matched,cache,True
7732-18-5,물,Water,물(WATER),물(WATER),015826,2025-08-08,matched,cache,True
7757-79-1,질산칼륨,Potassium nitrate,질산칼륨,질산칼륨,000692,2025-08-08,matched,cache,False
7758-19-2,아염소산 나트륨,SODIUM CHLORITE,아염소산 나트륨,아염소산 나트륨,000694,2025-08-08,matched,cache,False
7758-94-3,이염화 철(FERROUS CHLORIDE),"FERROUS CHLORIDE, SOLID",이염화 철(FERROUS CHLORIDE),이염화 철(FERROUS CHLORIDE),015875,2025-08-08,matched,cache,False
7758-97-6,크롬산 연,LEAD CHROMATE,크롬산 연,크롬산 연,000697,2025-08-08,matched,cache,False
7758-98-7,황산구리,Copper sulfate,황산 제II구리,황산 제II구리,000698,2025-08-08,matched,cache,True
7761-88-8,질산은,Silver nitrate,질산 은,질산 은,000699,2025-08-08,matched,cache,True
7772-98-7,싸이오황산 나트륨(SODIUM THIOSULFATE),SODIUM THIOSULFATE,싸이오황산 나트륨(SODIUM THIOSULFATE),싸이오황산 나트륨(SODIUM THIOSULFATE),015894,2025-08-08,matched,cache,False
7772-99-8,주석(Ⅱ)염화물(STANNOUS CHLORIDE),"STANNOUS CHLORIDE, SOLID",주석(Ⅱ)염화물(STANNOUS CHLORIDE),주석(Ⅱ)염화물(STANNOUS CHLORIDE),015895,2025-08-08,matched,cache,False
7773-03-7,이아황산 칼륨,POTASSIUM BISULFITE SOLUTION,이아황산 칼륨,이아황산 칼륨,015897,2025-08-08,matched,cache,False
7778-39-4,비소 산,"ARSENIC ACID, LIQUID",비소 산,비소 산,000705,2025-08-08,matched,cache,False
7778-50-9,중크롬산칼륨,Potassium dichromate,Potassium dichromate,Potassium dichromate,000707,2025-08-08,matched,cache,True
7778-66-7,차아염소산 칼륨(POTASSIUM HYPOCHLORITE),POTASSIUM HYPOCHLORITE SOLUTION,차아염소산 칼륨(POTASSIUM HYPOCHLORITE),차아염소산 칼륨(POTASSIUM HYPOCHLORITE),015923,2025-08-08,matched,cache,False
7782-41-4,불소,Fluorine,,불소,000711,2025-08-08,matched,cache,False
7782-44-7,산소,Oxygen,산소,산소,015939,2025-08-08,matched,cache,False
7782-49-2,셀레늄,Selenium,셀레늄,셀레늄,000712,2025-08-08,matched,cache,False
7782-50-5,염소,Chlorine,,염소,001020,2025-08-14,matched,cache,False
7783-00-8,아셀레늄산(아셀렌산),SELENIOUS ACID,아셀레늄산(아셀렌산),아셀레늄산(아셀렌산),000714,2025-08-08,matched,cache,False
7783-66-6,펜타플루오린화 아이오딘(IODINE PENTAFLUORIDE),IODINE PENTAFLUORIDE,펜타플루오린화 아이오딘(IODINE PENTAFLUORIDE),펜타플루오린화 아이오딘(IODINE PENTAFLUORIDE),015986,2025-08-08,matched,cache,False
7784-30-7,인산 알루미늄,"ALUMINUM PHOSPHATE, SOLUTION",인산 알루미늄,인산 알루미늄,016009,2025-08-08,matched,cache,False
7786-81-4,황산니켈,NICKEL SULFATE,황산니켈,황산니켈,000732,2025-12-10,matched,cache,False
7787-41-9,Barium selenate,BARIUM SELENATE,Barium selenate,Barium selenate,019978,2025-08-08,matched,cache,False
7788-97-8,트라이플루오린화 크로뮴,"CHROMIC FLUORIDE, SOLID",트라이플루오린화 크로뮴,트라이플루오린화 크로뮴,016055,2025-08-08,matched,cache,False
7789-29-9,이불화 칼륨(POTASSIUM BIFLUORIDE),POTASSIUM BIFLUORIDE,이불화 칼륨(POTASSIUM BIFLUORIDE),이불화 칼륨(POTASSIUM BIFLUORIDE),016073,2025-08-08,matched,cache,False
7789-47-1,브롬화 수은,MERCURIC BROMIDE,브롬화 수은,브롬화 수은,000741,2025-08-08,matched,cache,False
7789-60-8,포스포로우수 트리브롬화물(PHOSPHOROUS TRIBROMIDE),PHOSPHORUS TRIBROMIDE,포스포로우수 트리브롬화물(PHOSPHOROUS TRIBROMIDE),포스포로우수 트리브롬화물(PHOSPHOROUS TRIBROMIDE),016088,2025-08-08,matched,cache,False
7789-61-9,안티모니 트라이브로민화물(ANTIMONY TRIBROMIDE),ANTIMONY TRIBROMIDE,안티모니 트라이브로민화물(ANTIMONY TRIBROMIDE),안티모니 트라이브로민화물(ANTIMONY TRIBROMIDE),016089,2025-08-08,matched,cache,False
7789-69-7,Phosphorus pentabromide,PHOSPHORUS PENTABROMIDE,Phosphorus pentabromide,Phosphorus pentabromide,040008,2025-08-08,matched,cache,False
7790-99-0,요오드 모노염화물(베타)(IODINE MONOCHLORIDE (BETA)),IODINE MONOCHLORIDE,요오드 모노염화물(베타)(IODINE MONOCHLORIDE (BETA)),요오드 모노염화물(베타)(IODINE MONOCHLORIDE (BETA)),016126,2025-08-08,matched,cache,False
7803-55-6,암모늄 메타바나딘산염(AMMONIUM METAVANADATE),AMMONIUM METAVANADATE,암모늄 메타바나딘산염(AMMONIUM METAVANADATE),암모늄 메타바나딘산염(AMMONIUM METAVANADATE),016158,2025-08-08,matched,cache,False
79-06-1,아크릴아미드,ACRYLAMIDE,아크릴아미드,아크릴아미드,001141,2025-12-02,matched,cache,False
8049-17-0,Ferrosilicon,FERROSILICON,Ferrosilicon,Ferrosilicon,016534,2025-12-01,matched,cache,False
87658-56-8,테네신,Tennessine,,,,,not_found,cache,False
94-36-0,과산화벤조일,Benzoyl peroxide,과산화벤조일,과산화벤조일,000159,2025-12-02,matched,cache,False
998-40-3,트라이부틸포스핀,TRIBUTYLPHOSPHANE,트라이부틸포스핀,트라이부틸포스핀,018587,2026-07-01,matched,cache,False
