cas_number,registry_name_ko,registry_name_en,rag_chunk_name,kosha_name,chem_id,kosha_last_date,status,detail,name_differs
110-54-3,헥세인,Hexane,헥산,헥산,001044,2025-08-08,matched,cache,True
112-02-7,염화 헥사데실트라이메틸암모늄(염화 헥사데실트리메틸암모늄),HEXADECYLTRIMETHYLAMMONIUM CHLORIDE,염화 헥사데실트라이메틸암모늄(염화 헥사데실트리메틸암모늄),염화 헥사데실트라이메틸암모늄(염화 헥사데실트리메틸암모늄),000315,2025-12-16,matched,cache,False
1120-71-4,프로판 설톤,PROPANE SULTONE,프로판 설톤,프로판 설톤,000513,2025-12-02,matched,cache,False
115-19-5,2-메틸-3-부틴-2-올,2-METHYL-2-HYDROXY-3-BUTYNE,2-메틸-3-부틴-2-올,2-메틸-3-부틴-2-올,002530,2025-08-08,matched,cache,False
117-39-5,케르세틴(QUERCETIN),QUERCETIN,케르세틴(QUERCETIN),케르세틴(QUERCETIN),002597,2018-04-02,matched,cache,False
117-80-6,디클론(DICHLONE),DICHLONE,디클론(DICHLONE),디클론(DICHLONE),002609,2025-08-08,matched,cache,False
12030-88-5,칼륨 슈퍼산화물,POTASSIUM SUPEROXIDE,칼륨 슈퍼산화물,칼륨 슈퍼산화물,002768,2025-08-08,matched,cache,False
12031-80-0,리튬 퍼옥시드,LITHIUM PEROXIDE,리튬 퍼옥시드,리튬 퍼옥시드,002771,2025-08-08,matched,cache,False
12035-72-2,아황화니켈,NICKEL SUBSULFIDE,아황화니켈,아황화니켈,002785,2025-08-08,matched,cache,False
12057-74-8,Magnesium phosphide,MAGNESIUM PHOSPHIDE,Magnesium phosphide,Magnesium phosphide,002831,2025-08-08,matched,cache,False
121-17-5,4-클로로-3-나이트로벤조트리플루오르화물,3-NITRO-4-CHLOROBENZOTRIFLUORIDE,4-클로로-3-나이트로벤조트리플루오르화물,4-클로로-3-나이트로벤조트리플루오르화물,002899,2025-08-08,matched,cache,False
12125-01-8,플루오르화 암모늄,AMMONIUM FLUORIDE,플루오르화 암모늄,플루오르화 암모늄,000807,2025-08-08,matched,cache,False
12136-45-7,산화 칼륨,POTASSIUM MONOXIDE,산화 칼륨,산화 칼륨,002918,2025-08-08,matched,cache,False
122-66-7,"1,2-다이페닐하이드라진","1,2-DIPHENYLHYDRAZINE","1,2-다이페닐하이드라진","1,2-다이페닐하이드라진",003018,2026-03-26,matched,cache,False
124-09-4,헥사메틸렌디아민,"HEXAMETHYLENEDIAMINE, SOLID",헥사메틸렌디아민,헥사메틸렌디아민,000366,2026-07-01,matched,cache,False
124-38-9,이산화탄소,Carbon dioxide,이산화탄소,이산화탄소,003134,2025-08-08,matched,cache,False
1305-62-0,수산화칼슘,Calcium hydroxide,수산화 칼슘,수산화 칼슘,000526,2025-08-08,matched,cache,True
1305-78-8,산화칼슘,Calcium oxide,산화칼슘,산화칼슘,000527,2025-08-08,matched,cache,False
1309-37-1,삼산화이철,Iron(III) oxide,,산화철,001099,2025-08-08,matched,cache,True
131-52-2,Pentachlorophenol sodium salt; sodium pentachlorophenolate; NaPCP,SODIUM PENTACHLOROPHENATE,Pentachlorophenol sodium salt; sodium pentachlorophenolate; NaPCP,Pentachlorophenol sodium salt; sodium pentachlorophenolate; NaPCP,003488,2025-08-08,matched,cache,False
1310-58-3,수산화칼륨,Potassium hydroxide,수산화 칼륨,수산화 칼륨,001092,2026-07-29,matched,cache,True
1310-61-8,칼륨 히드로황화물,POTASSIUM HYDROSULFIDE,칼륨 히드로황화물,칼륨 히드로황화물,003412,2025-08-08,matched,cache,False
1310-65-2,하이드록시 리튬,"LITHIUM HYDROXIDE, SOLUTION",하이드록시 리튬,하이드록시 리튬,003413,2025-08-08,matched,cache,False
1310-73-2,수산화나트륨,Sodium hydroxide,수산화나트륨,수산화나트륨,001100,2025-08-08,matched,cache,False
1310-82-3,루비듐 수산화물,RUBIDIUM HYDROXIDE,루비듐 수산화물,루비듐 수산화물,003417,2025-08-08,matched,cache,False
1312-73-8,칼륨 황화물,"POTASSIUM SULFIDE, HYDRATED, WITH NOT LESS THAN 30% WATER OF CRYSTALLIZATION",칼륨 황화물,칼륨 황화물,003433,2025-08-08,matched,cache,False
1313-82-2,"황화 나트륨, 무수","SODIUM SULFIDE, ANHYDROUS","황화 나트륨, 무수","황화 나트륨, 무수",000539,2025-08-08,matched,cache,False
1314-18-7,스트론튬 과산화물,STRONTIUM PEROXIDE,스트론튬 과산화물,스트론튬 과산화물,003460,2025-08-08,matched,cache,False
1314-22-3,아연 과산화물,ZINC PEROXIDE,아연 과산화물,아연 과산화물,003462,2025-08-08,matched,cache,False
1333-74-0,수소,Hydrogen,수소,수소,000557,2025-08-08,matched,cache,False
1333-83-1,이불화 나트륨(SODIUM BIFLUORIDE),"SODIUM BIFLUORIDE, SOLID",이불화 나트륨(SODIUM BIFLUORIDE),이불화 나트륨(SODIUM BIFLUORIDE),003626,2025-08-08,matched,cache,False
1336-21-6,암모니아 용액,AMMONIUM HYDROXIDE,암모니아 용액,암모니아 용액,000561,2025-12-02,matched,cache,False
1341-49-7,이플루오르화 암모늄,"AMMONIUM BIFLUORIDE, SOLID",이플루오르화 암모늄,이플루오르화 암모늄,000564,2025-08-08,matched,cache,False
1344-00-9,규화알루미늄산 나트륨(SODIUM SILICOALUMINATE),SODIUM ALUMINOSILICATE,규화알루미늄산 나트륨(SODIUM SILICOALUMINATE),규화알루미늄산 나트륨(SODIUM SILICOALUMINATE),003697,2025-08-08,matched,cache,False
13494-80-9,텔루륨,Tellurium,텔레늄,텔레늄,000825,2026-03-27,matched,cache,True
13718-26-8,나트륨 바나드산염(SODIUM VANADATE),SODIUM VANADATE,나트륨 바나드산염(SODIUM VANADATE),나트륨 바나드산염(SODIUM VANADATE),003933,2025-08-08,matched,cache,False
13718-59-7,아셀레늄산 바륨(아셀렌산 바륨)(BARIUM SELENITE),BARIUM SELENITE,아셀레늄산 바륨(아셀렌산 바륨)(BARIUM SELENITE),아셀레늄산 바륨(아셀렌산 바륨)(BARIUM SELENITE),003935,2025-08-08,matched,cache,False
13774-25-9,magnesium dihydrogen disulphite,MAGNESIUM BISULFITE SOLUTION,magnesium dihydrogen disulphite,magnesium dihydrogen disulphite,035672,2025-08-08,matched,cache,False
13814-96-5,불화붕산 납,LEAD FLUOBORATE,불화붕산 납,불화붕산 납,003981,2025-08-08,matched,cache,False
13826-88-5,아연 테트라플루오로붕산염(ZINC TETRAFLUOROBORATE),ZINC FLUOROBORATE,아연 테트라플루오로붕산염(ZINC TETRAFLUOROBORATE),아연 테트라플루오로붕산염(ZINC TETRAFLUOROBORATE),003999,2025-08-08,matched,cache,False
13983-17-0,울라스토니트,WOLLASTONITE,울라스토니트,울라스토니트,004066,2025-08-08,matched,cache,False
14018-95-2,크롬산 아연,ZINC DICHROMATE,크롬산 아연,크롬산 아연,044893,2025-08-08,matched,cache,False
143-33-9,사이안화나트륨,Sodium cyanide,시안화나트륨,시안화나트륨,001146,2025-08-08,matched,cache,True
14486-19-2,카드뮴 플루오로붕산 용액,CADMIUM FLUOROBORATE,카드뮴 플루오로붕산 용액,카드뮴 플루오로붕산 용액,004313,2025-08-08,matched,cache,False
14708-14-6,니켈 플루우르화붕산,NICKEL FLUOROBORATE,니켈 플루우르화붕산,니켈 플루우르화붕산,004365,2025-08-08,matched,cache,False
14977-61-8,크로밀 클로라이드,CHROMIUM OXYCHLORIDE,크로밀 클로라이드,크로밀 클로라이드,004442,2025-08-08,matched,cache,False
151-50-8,시안화칼륨,POTASSIUM CYANIDE,시안화칼륨,시안화칼륨,001147,2025-08-08,matched,cache,False
15385-58-7,Mercury bromide,MERCUROUS BROMIDE,Mercury bromide,Mercury bromide,045595,2025-08-08,matched,cache,False
1558-25-4,트리클로로(클로로메틸)실란(TRICHLORO(CHLOROMETHYL)SILANE),TRICHLORO(CHLOROMETHYL)SILANE,트리클로로(클로로메틸)실란(TRICHLORO(CHLOROMETHYL)SILANE),트리클로로(클로로메틸)실란(TRICHLORO(CHLOROMETHYL)SILANE),004580,2018-04-02,matched,cache,False
16721-80-5,히드로황화 나트륨,"SODIUM HYDROSULFIDE, SOLID, WITH LESS THAN 25% WATER OF CRYSTALLIZATION",히드로황화 나트륨,히드로황화 나트륨,004801,2025-08-08,matched,cache,False
16940-66-2,수소화붕소나트륨,Sodium borohydride,Sodium tetrahydroborate,Sodium tetrahydroborate,004878,2025-08-08,matched,cache,True
16940-81-1,헥사플루오로인산,HEXAFLUOROPHOSPHORIC ACID,헥사플루오로인산,헥사플루오로인산,004879,2025-08-08,matched,cache,False
16961-83-4,플루오로규산,FLUOROSILICIC ACID,플루오로규산,플루오로규산,000859,2026-07-16,matched,cache,False
