task,embedding,granularity,sections,retriever,reranker,n_queries,n_chunks,avg_gold_per_query,dropped_queries,Recall@10,Recall@5,Recall@20,Hit@5,Hit@10,MRR,nDCG@10,search_ms,query_encode_ms,total_retrieval_ms
pair,bge-m3-ko,section,"2,10",dense,-,2250,371,4.3,0,0.7686444444444408,0.6741259259259252,0.8313111111111056,0.9946666666666667,0.9973333333333333,0.9669271333604665,0.7866165109616781,0.092,395.738,395.83
pair,bge-m3-ko,section,"2,10",bm25,-,2250,371,4.3,0,0.68202222222222,0.5841185185185189,0.770496296296293,0.9688888888888889,0.9782222222222222,0.9467830231038691,0.717529648011117,2.117,0.0,2.12
pair,bge-m3-ko,section,"2,10",hybrid,-,2250,371,4.3,0,0.8163629629629588,0.6938074074074052,0.8504592592592539,0.9955555555555555,0.9995555555555555,0.9732802197802197,0.8108007962095155,2.209,395.738,397.95
