task,embedding,granularity,sections,retriever,reranker,n_queries,n_chunks,avg_gold_per_query,dropped_queries,Recall@10,Recall@5,Recall@20,Hit@5,Hit@10,MRR,nDCG@10,search_ms,query_encode_ms,total_retrieval_ms
pair,bge-m3-ko,section,"2,10",dense,-,1785,545,3.4,130,0.8585620915032665,0.7723996265172726,0.9084967320261422,0.9719887955182073,0.984313725490196,0.9361844998739784,0.8370313821334928,0.082,204.048,204.13
pair,bge-m3-ko,section,"2,10",bm25,-,1785,545,3.4,130,0.7372175536881419,0.6528197945844998,0.8042016806722689,0.9176470588235294,0.942296918767507,0.843601126908096,0.7173295764636924,1.747,0.0,1.75
pair,bge-m3-ko,section,"2,10",hybrid,-,1785,545,3.4,130,0.8960037348272623,0.7919327731092436,0.9344070961717998,0.9759103641456582,0.9943977591036415,0.9309091908959227,0.8572453411404437,1.829,204.048,205.88
