task,embedding,granularity,sections,retriever,reranker,n_queries,n_chunks,avg_gold_per_query,dropped_queries,Recall@10,Recall@5,Recall@20,Hit@5,Hit@10,MRR,nDCG@10,search_ms,query_encode_ms,total_retrieval_ms
pair,bge-m3-ko,section,"2,10",dense,-,1915,893,4.1,0,0.8202523933855514,0.717963446475195,0.8834464751958205,0.995822454308094,0.9994778067885117,0.9718674623896552,0.8241057400874533,0.134,432.242,432.38
pair,bge-m3-ko,section,"2,10",bm25,-,1915,893,4.1,0,0.7424194952132289,0.664926022628372,0.805587467362924,0.9874673629242819,0.991644908616188,0.942311533838948,0.7635221986824533,2.8,0.0,2.8
pair,bge-m3-ko,section,"2,10",hybrid,-,1915,893,4.1,0,0.8825935596170562,0.7668320278503045,0.9272236727589184,0.9984334203655353,0.9994778067885117,0.9834786130608584,0.8734436824282443,2.934,432.242,435.18
