task,embedding,granularity,sections,retriever,reranker,n_queries,n_chunks,avg_gold_per_query,dropped_queries,Recall@10,Recall@5,Recall@20,Hit@5,Hit@10,MRR,nDCG@10,search_ms,query_encode_ms,total_retrieval_ms
pair,bge-m3-ko,section,"2,10",dense,-,1915,407,4.1,0,0.8800261096605727,0.7804351610095729,0.9284247171453418,0.9994778067885117,1.0,0.9832463011314185,0.8762807915869623,0.079,395.095,395.17
pair,bge-m3-ko,section,"2,10",bm25,-,1915,407,4.1,0,0.7884856396866837,0.7002262837249782,0.8597650130548299,0.9900783289817232,0.9947780678851175,0.968258941522649,0.8077855142754787,1.714,0.0,1.71
pair,bge-m3-ko,section,"2,10",hybrid,-,1915,407,4.1,0,0.9234377719756289,0.816649260226283,0.9562402088772822,0.9994778067885117,1.0,0.9915056570931243,0.910363198527935,1.793,395.095,396.89
