task,embedding,granularity,sections,retriever,reranker,n_queries,n_chunks,avg_gold_per_query,dropped_queries,Recall@10,Recall@5,Recall@20,Hit@5,Hit@10,MRR,nDCG@10,search_ms,query_encode_ms,total_retrieval_ms
pair,bge-m3-ko,section,all,dense,-,369,805,4.1,0,0.8691056910569112,0.7375790424570913,0.9252032520325212,1.0,1.0,0.9661246612466123,0.846100099089427,0.293,513.061,513.35
pair,bge-m3-ko,section,all,bm25,-,369,805,4.1,0,0.7393405600722676,0.57416440831075,0.8307588075880762,0.997289972899729,0.997289972899729,0.7306120144534781,0.6411993481566695,8.491,0.0,8.49
pair,bge-m3-ko,section,all,hybrid,-,369,805,4.1,0,0.87669376693767,0.725383920505872,0.9344173441734428,1.0,1.0,0.9629629629629629,0.8347354711301392,8.784,513.061,521.85
