task,embedding,granularity,sections,retriever,reranker,n_queries,n_chunks,avg_gold_per_query,dropped_queries,Recall@10,Recall@5,Recall@20,Hit@5,Hit@10,MRR,nDCG@10,search_ms,query_encode_ms,total_retrieval_ms
pair,bge-m3-ko,section,"2,10",dense,-,383,407,4.1,0,0.8875108790252397,0.7897737162750219,0.9363794604003487,1.0,1.0,0.9830287206266317,0.881893039363287,0.083,268.858,268.94
pair,bge-m3-ko,section,"2,10",bm25,-,383,407,4.1,0,0.7487380330722367,0.6864664926022629,0.8694952132288951,1.0,1.0,0.983899042645779,0.7915106513705058,1.886,0.0,1.89
pair,bge-m3-ko,section,"2,10",hybrid,-,383,407,4.1,0,0.9149260226283729,0.782593559617058,0.9524369016536124,1.0,1.0,0.9973890339425587,0.8989695281322141,1.969,268.858,270.83
