task,embedding,granularity,sections,retriever,reranker,n_queries,n_chunks,avg_gold_per_query,dropped_queries,Recall@10,Recall@5,Recall@20,Hit@5,Hit@10,MRR,nDCG@10,search_ms,query_encode_ms,total_retrieval_ms
pair,bge-m3-ko,section,"2,10",dense,-,383,407,4.1,0,0.9234116623150571,0.8243690165361186,0.9541340295909493,1.0,1.0,0.982811140121845,0.9119881409729075,0.067,368.87,368.94
pair,bge-m3-ko,section,"2,10",bm25,-,383,407,4.1,0,0.8427763272410794,0.7523063533507399,0.8863794604003482,0.9921671018276762,0.9973890339425587,0.9613172945418376,0.8451721418291461,1.179,0.0,1.18
pair,bge-m3-ko,section,"2,10",hybrid,-,383,407,4.1,0,0.9503481288076593,0.8559617058311576,0.97188859878155,1.0,1.0,0.9926022628372498,0.934661320377608,1.246,368.87,370.12
