task,embedding,granularity,sections,retriever,reranker,n_queries,n_chunks,avg_gold_per_query,dropped_queries,Recall@10,Recall@5,Recall@20,Hit@5,Hit@10,MRR,nDCG@10,search_ms,query_encode_ms,total_retrieval_ms
pair,bge-m3-ko,section,"2,10",dense,-,369,409,4.1,0,0.8829268292682931,0.780397470641373,0.930352303523036,1.0,1.0,0.9837398373983738,0.8772381019458921,0.089,501.724,501.81
pair,bge-m3-ko,section,"2,10",bm25,-,369,409,4.1,0,0.7366305329719967,0.675654923215899,0.8610659439927743,0.997289972899729,1.0,0.9795618789521228,0.7823487003167297,6.192,0.0,6.19
pair,bge-m3-ko,section,"2,10",hybrid,-,369,409,4.1,0,0.900542005420055,0.7811201445347791,0.9409214092140932,1.0,1.0,0.9986449864498645,0.8931745440511428,6.281,501.724,508.0
