task,embedding,granularity,sections,retriever,reranker,n_queries,n_chunks,avg_gold_per_query,dropped_queries,Recall@10,Recall@5,Recall@20,Hit@5,Hit@10,MRR,nDCG@10,search_ms,query_encode_ms,total_retrieval_ms
pair,bge-m3-ko,section,"2,10",dense,-,2160,366,1.9,15,0.8025462962962963,0.6814814814814815,0.8703703703703703,0.8865740740740741,0.937962962962963,0.5488963995018362,0.5682199646672633,0.127,430.881,431.01
pair,bge-m3-ko,section,"2,10",bm25,-,2160,366,1.9,15,0.7298611111111111,0.5509259259259259,0.8532407407407407,0.812962962962963,0.9013888888888889,0.40844040304556034,0.44865908935516624,2.682,0.0,2.68
pair,bge-m3-ko,section,"2,10",hybrid,-,2160,366,1.9,15,0.9203703703703704,0.8118055555555556,0.9675925925925926,0.9569444444444445,0.986574074074074,0.8352051989858352,0.7911549864378371,2.809,430.881,433.69
