cas_number,chemical_name,expected_group,pubchem_cid,pubchem_groups,status
108-24-7,ACETIC ANHYDRIDE,Anhydrides,7918,Anhydrides,MATCH
106-31-0,BUTYRIC ANHYDRIDE,Anhydrides,7798,Anhydrides,MATCH
100-00-5,P-NITROCHLOROBENZENE,Aryl Halides,7474,"Aryl Halides;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",MATCH
101-05-3,ANILAZINE,Aryl Halides,7541,"Amines, Phosphines, and Pyridines;Aryl Halides",MATCH
100-16-3,"4-NITROPHENYLHYDRAZINE, [WETTED WITH NOT LESS THAN 30% WATER BY MASS]","Azo, Diazo, Azido, Hydrazine, and Azide Compounds",3310889,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Water and Aqueous Solutions",MATCH
1310-58-3,"POTASSIUM HYDROXIDE, SOLUTION","Bases, Strong",14797,"Bases, Strong;Water and Aqueous Solutions",MATCH
1310-73-2,SODIUM HYDROXIDE SOLUTION,"Bases, Strong",14798,"Bases, Strong;Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes;Water and Aqueous Solutions",MATCH
100-57-2,PHENYLMERCURIC HYDROXIDE,"Bases, Strong",7512,"Bases, Strong;Organometallics",MATCH
11138-49-1,"SODIUM ALUMINATE, SOLUTION","Bases, Strong",14766,"Bases, Strong;Water and Aqueous Solutions",MATCH
12030-88-5,POTASSIUM SUPEROXIDE,"Bases, Strong",61541,"Bases, Strong;Oxidizing Agents, Strong",MATCH
12031-80-0,LITHIUM PEROXIDE,"Bases, Strong",25489,"Bases, Strong;Oxidizing Agents, Strong",MATCH
12136-45-7,산화 칼륨,"Bases, Strong",9989219,"Bases, Strong",MATCH
1336-21-6,AMMONIUM HYDROXIDE,"Bases, Weak",14923,"Bases, Weak;Water and Aqueous Solutions",MATCH
12124-99-1,"AMMONIUM HYDROSULFIDE, SOLUTION","Bases, Weak",25515,"Bases, Strong;Bases, Weak;Sulfides, Inorganic;Water and Aqueous Solutions",MATCH
1305-62-0,CALCIUM HYDROXIDE,"Bases, Weak",6093208,"Bases, Weak",MATCH
