cas_number,chemical_name,expected_group,pubchem_cid,pubchem_groups,status
677-42-9,ISOPROPYLPHOSPHONYL DIFLUORIDE,"Acyl Halides, Sulfonyl Halides, and Chloroformates;Sulfonates, Phosphonates, and Thiophosphonates, Organic",14028521,"Acyl Halides, Sulfonyl Halides, and Chloroformates;Sulfonates, Phosphonates, and Thiophosphonates, Organic",MATCH
677-43-0,"N,N-DIMETHYL PHOSPHORAMIDIC DICHLORIDE","Acyl Halides, Sulfonyl Halides, and Chloroformates;Amides and Imides",12673,"Acyl Halides, Sulfonyl Halides, and Chloroformates;Amides and Imides",MATCH
677-71-4,HEXAFLUOROACETONE HYDRATE,"Acetals, Ketals, Hemiacetals, and Hemiketals;Alcohols and Polyols;Fluorinated Organic Compounds",69617,"Acetals, Ketals, Hemiacetals, and Hemiketals;Alcohols and Polyols;Fluorinated Organic Compounds",MATCH
67713-16-0,"HEXOTONAL &lt;OR&gt; HEXATONAL, CAST","Metals, Elemental and Powder, Active;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",,,ERROR
67762-27-0,TALLOW FATTY ALCOHOL,Alcohols and Polyols,,,ERROR
67774-32-7,POLYBROMINATED BIPHENYL,Aryl Halides;Not Chemically Reactive,42948,Aryl Halides;Not Chemically Reactive agents,MATCH
67805-95-2,ISONONANOYL PEROXIDE,"Peroxides, Organic",71367675,"Peroxides, Organic",MATCH
67828-17-5,DIETHYL DIBUTYLPHOSPHORAMIDATE,"Amines, Phosphines, and Pyridines;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",105706,"Amines, Phosphines, and Pyridines;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",MATCH
67873-91-0,"TRIISOCYANATOISOCYANURATE OF ISOPHORONEDIISOCYANATE, SOLUTION (70%)",Isocyanates and Isothiocyanates,106924,Isocyanates and Isothiocyanates,MATCH
6789-88-4,HEXYL BENZOATE,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",23235,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",MATCH
68-76-8,TRIAZIQUONE,"Amines, Phosphines, and Pyridines;Hydrocarbons, Aliphatic Unsaturated;Ketones",6235,"Amines, Phosphines, and Pyridines;Hydrocarbons, Aliphatic Unsaturated;Ketones",MATCH
68015-41-8,"FATTY ACIDS, TALL OIL, POLYMERS WITH GLYCEROL, MALEIC ANHYDRIDE, PHTHALIC ANHYDRIDE, AND SOYBEAN OIL","Alcohols and Polyols;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated",,,ERROR
68081-81-2,SODIUM ALKYLBENZENESULFONATES,"Salts, Basic",,,ERROR
