cas_number,chemical_name,group_id,group_name,source,course,experiment
7664-41-7,AMMONIA,19,"Bases, Weak",reactive_basics_tier2,,
101-21-3,ISOPROPYL-N-(3-CHLOROPHENYL)CARBAMATE,20,Carbamates,pool_supplement,,
506-87-6,탄산 디암모늄,21,Carbonate Salts,pool_replacement,,
1066-33-7,AMMONIUM BICARBONATE,21,Carbonate Salts,pool_supplement,,
1317-65-3,LIMESTONE,21,Carbonate Salts,pool_supplement,,
144-55-8,SODIUM BICARBONATE,21,Carbonate Salts,pool_supplement,,
15630-89-4,SODIUM PERCARBONATE,21,Carbonate Salts,pool_supplement,,
3486-35-9,ZINC CARBONATE,21,Carbonate Salts,pool_supplement,,
471-34-1,CALCIUM CARBONATE,21,Carbonate Salts,pool_topup,,
1558-25-4,트리클로로(클로로메틸)실란(TRICHLORO(CHLOROMETHYL)SILANE),22,Chlorosilanes,pool_replacement,,
110-16-7,MALEIC ACID,23,Conjugated Dienes,pool_supplement,,
1335-31-5,MERCURIC OXYCYANIDE,24,"Cyanides, Inorganic",pool_supplement,,
101-90-6,DIGLYCIDYL RESORCINOL ETHER,26,Epoxides,pool_supplement,,
105-79-3,Isobutyl hexanoate,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",pool_replacement_v2,,
10031-87-5,2-ETHYLBUTYL ACETATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",pool_supplement,,
102-16-9,BENZYL PHENYLACETATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",pool_supplement,,
103-09-3,ETHYLHEXYL ACETATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",pool_supplement,,
103-23-1,BIS(2-ETHYLHEXYL) ADIPATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",pool_supplement,,
1031-07-8,ENDOSULFAN SULFATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",pool_supplement,,
1031-47-6,TRIAMIPHOS,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",pool_topup,,
60-29-7,ETHYL ETHER,28,Ethers,curated_curriculum,유기화학,추출 용매(과산화물 형성주의)
104-46-1,아네토레,28,Ethers,pool_replacement,,
108-60-1,비스(2-클로로아이소프로필)에테르,28,Ethers,pool_replacement,,
109-53-5,아이소뷰틸 비닐 에테르,28,Ethers,pool_replacement,,
109-59-1,이소프로폭시에탄올,28,Ethers,pool_replacement_v2,,
101-80-4,"4,4&#39;-DIAMINODIPHENYL ETHER",28,Ethers,pool_supplement,,
103-50-4,DIBENZYL ETHER,28,Ethers,pool_supplement,,
12125-01-8,AMMONIUM FLUORIDE,29,"Fluoride Salts, Soluble",pool_supplement,,
1333-83-1,"SODIUM BIFLUORIDE, SOLID",29,"Fluoride Salts, Soluble",pool_supplement,,
121-17-5,4-클로로-3-나이트로벤조트리플루오르화물,30,Fluorinated Organic Compounds,pool_replacement,,
107-04-0,1-브로모-2-클로로에탄,31,Halogenated Organic Compounds,pool_replacement,,
107-81-3,2-브로모펜테인,31,Halogenated Organic Compounds,pool_replacement_v2,,
100-14-1,"BENZENE, 1-(CHLOROMETHYL)-4-NITRO-",31,Halogenated Organic Compounds,pool_supplement,,
10222-01-2,"2,2-DIBROMO-3-NITRILOPROPIONAMIDE",31,Halogenated Organic Compounds,pool_supplement,,
1024-57-3,HEPTACHLOR EPOXIDE,31,Halogenated Organic Compounds,pool_supplement,,
10311-84-9,DIALIFOR,31,Halogenated Organic Compounds,pool_supplement,,
105-48-6,ISOPROPYL CHLOROACETATE,31,Halogenated Organic Compounds,pool_topup,,
10241-05-1,MOLYBDENUM PENTACHLORIDE,32,Halogenating Agents,pool_supplement,,
118-52-5,"1,3-DICHLORO-5,5-DIMETHYLHYDANTOIN",32,Halogenating Agents,pool_supplement,,
110-54-3,HEXANE,33,"Hydrocarbons, Aliphatic Saturated",curated_curriculum,유기화학,추출 용매
112-95-8,N-EICOSANE,33,"Hydrocarbons, Aliphatic Saturated",pool_supplement,,
12002-43-6,GILSONITE,33,"Hydrocarbons, Aliphatic Saturated",pool_supplement,,
123-01-3,DODECYLBENZENE,33,"Hydrocarbons, Aliphatic Saturated",pool_supplement,,
1333-86-4,CARBON BLACK,33,"Hydrocarbons, Aliphatic Saturated",pool_supplement,,
1338-02-9,COPPER NAPHTHENATE,33,"Hydrocarbons, Aliphatic Saturated",pool_supplement,,
151-21-3,"DODECYL SULFATE, [SODIUM SALT]",33,"Hydrocarbons, Aliphatic Saturated",pool_topup,,
105-87-3,게라닐 아세트산,34,"Hydrocarbons, Aliphatic Unsaturated",pool_replacement,,
1025-15-6,TRIALLYL ISOCYANURATE,34,"Hydrocarbons, Aliphatic Unsaturated",pool_supplement,,
108-88-3,TOLUENE,35,"Hydrocarbons, Aromatic",curated_curriculum,유기화학,재결정/추출
115-86-6,트리페닐 포스페이트,35,"Hydrocarbons, Aromatic",pool_replacement,,
102-08-9,THIOCARBANILIDE,35,"Hydrocarbons, Aromatic",pool_supplement,,
102-54-5,FERROCENE,35,"Hydrocarbons, Aromatic",pool_supplement,,
104-72-3,N-DECYLBENZENE,35,"Hydrocarbons, Aromatic",pool_supplement,,
104-88-1,4-CHLOROBENZALDEHYDE,35,"Hydrocarbons, Aromatic",pool_supplement,,
114-49-8,SCOPOLAMINE HYDROBROMIDE,35,"Hydrocarbons, Aromatic",pool_topup,,
101-68-8,"DIPHENYLMETHANE-4,4&#39;-DIISOCYANATE",37,Isocyanates and Isothiocyanates,pool_supplement,,
67-64-1,ACETONE,38,Ketones,curated_curriculum,유기화학,세척/추출 용매
117-39-5,케르세틴(QUERCETIN),38,Ketones,pool_replacement_v2,,
119-53-9,벤조인,38,Ketones,pool_replacement_v3_manual,,
102-01-2,ACETOACETANILIDE,38,Ketones,pool_supplement,,
106-51-4,BENZOQUINONE,38,Ketones,pool_supplement,,
107-70-0,4-METHOXY-4-METHYLPENTAN-2-ONE,38,Ketones,pool_supplement,,
110-13-4,"2,5-HEXANEDIONE",38,Ketones,pool_supplement,,
16940-66-2,SODIUM BOROHYDRIDE,39,"Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes",curated_curriculum,유기화학,환원반응
102-67-0,TRIPROPYLALUMINUM,39,"Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes",pool_supplement,,
7440-09-7,Potassium,40,"Metals, Alkali, Very Active",pool_replacement,,
7439-93-2,LITHIUM,40,"Metals, Alkali, Very Active",pool_supplement,,
7440-66-6,ZINC ASHES,41,"Metals, Elemental and Powder, Active",curated_curriculum,물리화학,갈바니 전지(아연)
7439-95-4,Magnesium,41,"Metals, Elemental and Powder, Active",pool_replacement,,
7440-02-0,니켈,41,"Metals, Elemental and Powder, Active",pool_replacement,,
7440-21-3,실리콘,41,"Metals, Elemental and Powder, Active",pool_replacement,,
7440-25-7,탄탈럼(탄탈),41,"Metals, Elemental and Powder, Active",pool_replacement,,
7429-90-5,"ALUMINUM POWDER, COATED",41,"Metals, Elemental and Powder, Active",pool_supplement,,
7439-89-6,"IRON, [POWDERED]",41,"Metals, Elemental and Powder, Active",pool_topup,,
7440-50-8,COPPER,42,"Metals, Less Reactive agents",curated_curriculum,물리화학,갈바니 전지(구리)
10112-91-1,MERCUROUS CHLORIDE,42,"Metals, Less Reactive agents",pool_supplement,,
10124-48-8,MERCURY AMMONIUM CHLORIDE,42,"Metals, Less Reactive agents",pool_supplement,,
10294-26-5,SILVER SULFATE,42,"Metals, Less Reactive agents",pool_supplement,,
1191-80-6,MERCURY OLEATE,42,"Metals, Less Reactive agents",pool_supplement,,
1304-82-1,BISMUTH TELLURIDE,42,"Metals, Less Reactive agents",pool_supplement,,
10099-74-8,LEAD NITRATE,43,"Nitrate and Nitrite Compounds, Inorganic",curated_curriculum,분석화학,침전실험
7761-88-8,SILVER NITRATE,43,"Nitrate and Nitrite Compounds, Inorganic",curated_curriculum,분석화학,침전적정(할로겐 정량)
12057-74-8,MAGNESIUM PHOSPHIDE,44,"Nitrides, Phosphides, Carbides, and Silicides",pool_supplement,,
104-85-8,P-TOLUNITRILE,45,Nitriles,pool_supplement,,
105-56-6,ETHYL CYANOACETATE,45,Nitriles,pool_supplement,,
100-02-7,4-NITROPHENOL,46,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",pool_supplement,,
10361-37-2,BARIUM CHLORIDE,47,Non-Redox-Active Inorganic Compounds,curated_curriculum,분석화학,황산염 침전정량
7447-40-7,POTASSIUM CHLORIDE,47,Non-Redox-Active Inorganic Compounds,curated_curriculum,물리화학,전도도/전기화학 셀
1002-89-7,AMMONIUM STEARATE,47,Non-Redox-Active Inorganic Compounds,pool_supplement,,
10025-73-7,CHROMIC CHLORIDE,47,Non-Redox-Active Inorganic Compounds,pool_supplement,,
10101-63-0,LEAD IODIDE,47,Non-Redox-Active Inorganic Compounds,pool_supplement,,
10102-50-8,FERROUS ARSENATE,47,Non-Redox-Active Inorganic Compounds,pool_supplement,,
7727-37-9,NITROGEN,48,Not Chemically Reactive agents,reactive_basics_tier1,,
1271-28-9,니켈로센,49,Organometallics,pool_replacement_v2,,
13007-92-6,크롬 카보닐(CHROMIUM CARBONYL),49,Organometallics,pool_replacement_v3_manual,,
7722-64-7,POTASSIUM PERMANGANATE,50,"Oxidizing Agents, Strong",curated_curriculum,일반화학,산화환원 적정
7722-84-1,HYDROGEN PEROXIDE,50,"Oxidizing Agents, Strong",curated_curriculum,일반화학,산화환원반응(자기반응성 주의)
10034-81-8,MAGNESIUM PERCHLORATE,50,"Oxidizing Agents, Strong",pool_supplement,,
10034-82-9,SODIUM CHROMATE TETRAHYDRATE,50,"Oxidizing Agents, Strong",pool_supplement,,
10101-50-5,SODIUM PERMANGANATE,50,"Oxidizing Agents, Strong",pool_supplement,,
10118-76-0,CALCIUM PERMANGANATE,50,"Oxidizing Agents, Strong",pool_supplement,,
7782-44-7,OXYGEN,50,"Oxidizing Agents, Strong",reactive_basics_tier1,,
7553-56-2,IODINE,51,"Oxidizing Agents, Weak",curated_curriculum,분석화학,요오드 적정
132259-10-0,"압축된 공기, 호흡하는 공기(COMPRESSED AIR, BREATHING AIR)",51,"Oxidizing Agents, Weak",pool_replacement,,
10048-95-0,SODIUM ARSENATE HEPTAHYDRATE,51,"Oxidizing Agents, Weak",pool_supplement,,
10102-49-5,FERRIC ARSENATE,51,"Oxidizing Agents, Weak",pool_supplement,,
1303-28-2,ARSENIC PENTOXIDE,51,"Oxidizing Agents, Weak",pool_supplement,,
1312-03-4,"MERCURIC SUBSULFATE, [SOLID]",51,"Oxidizing Agents, Weak",pool_supplement,,
100-64-1,CYCLOHEXANONE OXIME,52,Oximes,pool_supplement,,
105-64-6,DIISOPROPYL PEROXYDICARBONATE,53,"Peroxides, Organic",pool_supplement,,
105-74-8,LAUROYL PEROXIDE,53,"Peroxides, Organic",pool_supplement,,
131-52-2,SODIUM PENTACHLOROPHENATE,54,Phenolic Salts,pool_supplement,,
101-18-8,3-HYDROXY-N-PHENYLANILINE,55,Phenols and Cresols,pool_supplement,,
10169-02-5,C.I. ACID RED 97,55,Phenols and Cresols,pool_supplement,,
105-60-2,CAPROLACTAM,56,Polymerizable Compounds,pool_supplement,,
106-87-6,1-VINYL-3-CYCLOHEXENE DIOXIDE,56,Polymerizable Compounds,pool_supplement,,
112-02-7,HEXADECYLTRIMETHYLAMMONIUM CHLORIDE,57,Quaternary Ammonium and Phosphonium Salts,pool_supplement,,
1762-95-4,AMMONIUM THIOCYANATE,58,"Reducing Agents, Strong",curated_curriculum,무기화학,착물 색반응
10039-54-0,HYDROXYLAMINE SULFATE,58,"Reducing Agents, Strong",pool_supplement,,
10026-17-2,COBALT FLUORIDE,59,"Reducing Agents, Weak",pool_supplement,,
101-02-0,TRIPHENYL PHOSPHITE,59,"Reducing Agents, Weak",pool_supplement,,
1333-74-0,HYDROGEN,59,"Reducing Agents, Weak",reactive_basics_tier2,,
7758-98-7,CUPRIC SULFATE,60,"Salts, Acidic",curated_curriculum,분석화학,착물형성/전기화학
7786-81-4,NICKEL SULFATE,60,"Salts, Acidic",curated_curriculum,무기화학,착물합성
10031-13-7,LEAD(II) ARSENITE,61,"Salts, Basic",pool_supplement,,
10102-20-2,SODIUM TELLURITE,61,"Salts, Basic",pool_supplement,,
1344-00-9,규화알루미늄산 나트륨(SODIUM SILICOALUMINATE),62,Siloxanes,pool_replacement_v2,,
1185-81-5,DIBUTYLTIN-BIS(LAURYL MERCAPTIDE),63,"Sulfides, Inorganic",pool_supplement,,
12035-72-2,NICKEL SUBSULFIDE,63,"Sulfides, Inorganic",pool_supplement,,
7220-79-3,"메틸렌 블루, 트리수화물(METHYLENE BLUE, TRIHYDRATE)",64,"Sulfides, Organic",pool_replacement_v3_manual,,
7772-98-7,SODIUM THIOSULFATE,65,Sulfite and Thiosulfate Salts,curated_curriculum,분석화학,요오드 적정 환원제
10192-30-0,"AMMONIUM BISULFITE, SOLID",65,Sulfite and Thiosulfate Salts,pool_supplement,,
10196-04-0,AMMONIUM SULFITE,65,Sulfite and Thiosulfate Salts,pool_supplement,,
10431-47-7,POTASSIUM SELENITE,65,Sulfite and Thiosulfate Salts,pool_supplement,,
13718-59-7,BARIUM SELENITE,65,Sulfite and Thiosulfate Salts,pool_supplement,,
13774-25-9,MAGNESIUM BISULFITE SOLUTION,65,Sulfite and Thiosulfate Salts,pool_supplement,,
1071-83-6,GLYPHOSATE,66,"Sulfonates, Phosphonates, and Thiophosphonates, Organic",pool_supplement,,
111-54-6,"ETHYLENEBISDITHIOCARBAMIC ACID, SALTS AND ESTERS",67,Thiocarbamate Esters and Salts/Dithiocarbamate Esters and Salts,pool_supplement,,
10043-01-3,"ALUMINUM SULFATE, SOLID",68,Water and Aqueous Solutions,pool_supplement,,
7732-18-5,WATER,68,Water and Aqueous Solutions,reactive_basics_tier1,,
68848-64-6,LITHIUM SILICON,40,"Metals, Alkali, Very Active",reaction_frequency_high,,
7440-17-7,RUBIDIUM,40,"Metals, Alkali, Very Active",reaction_frequency_high,,
7440-23-5,SODIUM,40,"Metals, Alkali, Very Active",reaction_frequency_high,,
7440-46-2,CESIUM,40,"Metals, Alkali, Very Active",reaction_frequency_high,,
54413-15-9,TRITONAL,41,"Metals, Elemental and Powder, Active",reaction_frequency_high,,
70399-13-2,LITHIUM FERROSILICON,41,"Metals, Elemental and Powder, Active",reaction_frequency_high,,
7440-32-6,"TITANIUM POWDER, DRY",41,"Metals, Elemental and Powder, Active",reaction_frequency_high,,
7440-36-0,ANTIMONY POWDER,41,"Metals, Elemental and Powder, Active",reaction_frequency_high,,
7440-39-3,BARIUM,41,"Metals, Elemental and Powder, Active",reaction_frequency_high,,
7440-41-7,"BERYLLIUM COMPOUND, N.O.S.",41,"Metals, Elemental and Powder, Active",reaction_frequency_high,,
7440-43-9,CADMIUM,41,"Metals, Elemental and Powder, Active",reaction_frequency_high,,
7440-45-1,"CERIUM, SLABS, INGOTS OR RODS",41,"Metals, Elemental and Powder, Active",reaction_frequency_high,,
7440-47-3,CHROMIUM,41,"Metals, Elemental and Powder, Active",reaction_frequency_high,,
7440-48-4,COBALT,41,"Metals, Elemental and Powder, Active",reaction_frequency_high,,
7440-58-6,"HAFNIUM POWDER, DRY",41,"Metals, Elemental and Powder, Active",reaction_frequency_high,,
7440-62-2,VANADIUM (FUME OR DUST),41,"Metals, Elemental and Powder, Active",reaction_frequency_high,,
7440-65-5,YTTRIUM,41,"Metals, Elemental and Powder, Active",reaction_frequency_high,,
7440-67-7,ZIRCONIUM POWDER WET,41,"Metals, Elemental and Powder, Active",reaction_frequency_high,,
7440-70-2,CALCIUM,41,"Metals, Elemental and Powder, Active",reaction_frequency_high,,
7440-74-6,INDIUM,41,"Metals, Elemental and Powder, Active",reaction_frequency_high,,
7782-49-2,SELENIUM POWDER,41,"Metals, Elemental and Powder, Active",reaction_frequency_high,,
8049-17-0,FERROSILICON,41,"Metals, Elemental and Powder, Active",reaction_frequency_high,,
13494-80-9,TELLURIUM,42,"Metals, Less Reactive agents",reaction_frequency_high,,
15385-58-7,MERCUROUS BROMIDE,42,"Metals, Less Reactive agents",reaction_frequency_high,,
15829-53-5,MERCURY OXIDE,42,"Metals, Less Reactive agents",reaction_frequency_high,,
21908-53-2,"MERCURIC OXIDE, [SOLID]",42,"Metals, Less Reactive agents",reaction_frequency_high,,
63937-14-4,MERCURY GLUCONATE,42,"Metals, Less Reactive agents",reaction_frequency_high,,
7439-92-1,LEAD,42,"Metals, Less Reactive agents",reaction_frequency_high,,
7439-96-5,MANGANESE,42,"Metals, Less Reactive agents",reaction_frequency_high,,
7439-98-7,MOLYBDENUM,42,"Metals, Less Reactive agents",reaction_frequency_high,,
7440-06-4,PLATINUM,42,"Metals, Less Reactive agents",reaction_frequency_high,,
7440-16-6,RHODIUM (METAL FUME),42,"Metals, Less Reactive agents",reaction_frequency_high,,
7440-22-4,SILVER,42,"Metals, Less Reactive agents",reaction_frequency_high,,
7440-28-0,THALLIUM,42,"Metals, Less Reactive agents",reaction_frequency_high,,
