cas_number,name_ko,name_en,core_category,kosha_status,checked_at,check_method,name_search_hits
7440-51-9,퀴륨,Curium,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,
87658-56-8,테네신,Tennessine,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,
7440-26-8,테크네튬,Technetium,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,
7440-30-4,툴륨,Thulium,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,"툴륨->12036-44-1=산화 툴륨(002789)|Thulium->12036-44-1=THULIUM OXIDE(002789)|Thulium->14985-19-4=THULIUM NITRATE(004446)|Thulium->1311-33-7=Thulium trihydroxide(043762)|Thulium->13760-79-7=플루오린화 톨륨(플루오르화 톨륨)(THULIUM FLUORIDE)(003958)|Thulium->13537-18-3=톨륨 염화물, 무수물(THULIUM CHLORIDE, ANHYDROUS)(003835)"
7440-72-4,페르뮴,Fermium,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,
7440-08-6,폴로늄,Polonium,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,"폴로늄->13981-52-7=폴로늄, 아이소토프 OF MASS 210(POLONIUM, ISOTOPE OF MASS 210)(004065)|Polonium->15422-74-9=Polonium-218(134863)|Polonium->15735-67-8=Polonium-214(134864)|Polonium->13981-52-7=폴로늄, 아이소토프 OF MASS 210(POLONIUM, ISOTOPE OF MASS 210)(004065)"
7440-10-0,프라세오디뮴,Praseodymium,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,"프라세오디뮴->12036-32-7=프라세오디뮴 산화물(002787)|프라세오디뮴->10361-80-5=프라세오디뮴 니트레이트(001655)|프라세오디뮴->12037-29-5=프라세오디뮴 산화물(PR6O11)(002792)|프라세오디뮴->10361-79-2=프라세오디뮴 염화물(PRASEODYMIUM CHLORIDE)(001654)|프라세오디뮴->13709-46-1=플루오린화 프라세오디뮴(플루오르화 프라세오디뮴)(PRASEODYMIUM FLUORIDE)(003925)|Praseodymium->10361-80-5=PRASEODYMIUM NITRATE(001655)|Praseodymium->12036-05-4=Praseodymium dioxide(040295)|Praseodymium->12038-08-3=Praseodymium selenide(040299)|Praseodymium->13813-23-5=Praseodymium iodide (PrI3)(040296)|Praseodymium->5895-45-4=Dipraseodymium tricarbonate(026990)|Praseodymium->12044-28-9=Praseodymium arsenide (PrAs)(040293)|Praseodymium->10361-79-2=프라세오디뮴 염화물(PRASEODYMIUM CHLORIDE)(001654)|Praseodymium->13709-46-1=플루오린화 프라세오디뮴(플루오르화 프라세오디뮴)(PRASEODYMIUM FLUORIDE)(003925)|Praseodymium->12036-32-7=프라세오디뮴 산화물<br/>( 관용명 : 프라세오디뮴 산화물 (PR2O3)(PRASEODYMIUM OXIDE (PR2O3)); )(002787)|Praseodymium->12037-29-5=프라세오디뮴 산화물(PR6O11)<br/>( 관용명 : 헥사프라세오디뮴 운데카산화물(HEXAPRASEODYMIUM UNDECAOXIDE); )(002792)|Praseodymium->101356-99-4=Cadmium oxide (CdO), solid soln. with calcium oxide and titanium oxide (TiO2), praseodymium-doped(432348)"
7440-73-5,프랑슘,Francium,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,
7440-12-2,프로메튬,Promethium,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,
7440-13-3,프로트악티늄,Protactinium,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,
54085-16-4,플레로븀,Flerovium,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,
7440-07-5,플루토늄,Plutonium,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,
54037-57-9,하슘,Hassium,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,
7440-60-0,홀뮴,Holmium,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,홀뮴->12055-62-8=산화 홀뮴(002826)|홀뮴->10168-82-8=홀뮴 니트레이트(001500)|홀뮴->10138-62-2=염화 홀뮴(HOLMIUM CHLORIDE)(001482)|Holmium->12055-62-8=HOLMIUM OXIDE(002826)|Holmium->10168-82-8=HOLMIUM NITRATE(001500)|Holmium->12029-87-7=Holmium selenide(033605)|Holmium->13813-41-7=Holmium iodide ()(033602)|Holmium->12162-60-6=Diholmium triselenide(025928)|Holmium->10138-62-2=염화 홀뮴(HOLMIUM CHLORIDE)(001482)|Holmium->12005-92-4=Holmium arsenide (HoAs)(033596)|Holmium->13760-78-6=Holmium fluoride (HoF3)(033599)
