task,embedding,granularity,sections,retriever,reranker,query,n_queries,n_chunks,avg_gold_per_query,dropped_queries,Recall@10,Recall@5,Recall@20,Hit@5,Hit@10,MRR,nDCG@10,search_ms,query_encode_ms,total_retrieval_ms
pair,bge-m3-ko,section,"2,10",dense,-,pair,2240,371,1.9,10,0.7491071428571429,0.6287946428571428,0.8279017857142857,0.8495535714285715,0.909375,0.5445961120692303,0.5398346377026209,0.219,331.366,331.58
pair,bge-m3-ko,section,"2,10",bm25,-,pair,2240,371,1.9,10,0.6022321428571429,0.43794642857142857,0.7803571428571429,0.6790178571428571,0.815625,0.3538323929839537,0.3685594042466896,5.05,0.0,5.05
pair,bge-m3-ko,section,"2,10",hybrid,-,pair,2240,371,1.9,10,0.8986607142857143,0.7734375,0.9430803571428571,0.9334821428571428,0.9790178571428572,0.8802751706378932,0.8065230695634431,5.269,331.366,336.63
