CAS_Number,Chemical_Name,Reactive_Group_IDs,Reactive_Groups
101-54-2,N-PHENYL-P-PHENYLENEDIAMINE,13,"Amines, Aromatic"
101-55-3,4-BROMOPHENYL PHENYL ETHER,16;28,Aryl Halides;Ethers
101-61-1,"4,4&#39;-METHYLENEBIS(N,N-DIMETHYL)BENZENAMINE",14,"Amines, Phosphines, and Pyridines"
101-67-7,"4,4&#39;-DIOCTYLDIPHENYLAMINE",14,"Amines, Phosphines, and Pyridines"
101-68-8,"DIPHENYLMETHANE-4,4&#39;-DIISOCYANATE",37,Isocyanates and Isothiocyanates
101-70-2,"4,4&#39;-DIMETHOXYDIPHENYLAMINE",14,"Amines, Phosphines, and Pyridines"
101-72-4,N-ISOPROPYL-N&#39;-PHENYL-P-PHENYLENEDIAMINE,13,"Amines, Aromatic"
101-73-5,P-ISOPROPOXYDIPHENYLAMINE,14;28,"Amines, Phosphines, and Pyridines;Ethers"
101-77-9,"4,4&#39;-DIAMINODIPHENYLMETHANE",13,"Amines, Aromatic"
101-80-4,"4,4&#39;-DIAMINODIPHENYL ETHER",13;28,"Amines, Aromatic;Ethers"
101-83-7,DICYCLOHEXYLAMINE,14,"Amines, Phosphines, and Pyridines"
101-90-6,DIGLYCIDYL RESORCINOL ETHER,26;28;35,"Epoxides;Ethers;Hydrocarbons, Aromatic"
101-96-2,"N,N&#39;-DI-SEC-BUTYL-P-PHENYLENEDIAMINE",13,"Amines, Aromatic"
10101-50-5,SODIUM PERMANGANATE,50,"Oxidizing Agents, Strong"
10101-53-8,CHROMIC SULFATE,60,"Salts, Acidic"
10101-63-0,LEAD IODIDE,47,Non-Redox-Active Inorganic Compounds
10101-97-0,NICKEL SULFATE HEXAHYDRATE,60,"Salts, Acidic"
10102-20-2,SODIUM TELLURITE,59;61,"Reducing Agents, Weak;Salts, Basic"
10102-45-1,THALLIUM NITRATE,43,"Nitrate and Nitrite Compounds, Inorganic"
10102-49-5,FERRIC ARSENATE,51;61,"Oxidizing Agents, Weak;Salts, Basic"
10102-50-8,FERROUS ARSENATE,47,Non-Redox-Active Inorganic Compounds
10102-71-3,SODIUM ALUMINUM SULPHATE,60,"Salts, Acidic"
10103-50-1,MAGNESIUM ARSENATE,47,Non-Redox-Active Inorganic Compounds
10108-64-2,CADMIUM CHLORIDE,60,"Salts, Acidic"
10112-91-1,MERCUROUS CHLORIDE,42;47,"Metals, Less Reactive;Non-Redox-Active Inorganic Compounds"
10118-76-0,CALCIUM PERMANGANATE,50,"Oxidizing Agents, Strong"
101200-48-0,TRIBENURON-METHYL,12;14;27;66,"Amides and Imides;Amines, Phosphines, and Pyridines;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
10124-36-4,CADMIUM SULFATE,60,"Salts, Acidic"
10124-43-3,COBALT SULFATE,60,"Salts, Acidic"
10124-48-8,MERCURY AMMONIUM CHLORIDE,42;47,"Metals, Less Reactive;Non-Redox-Active Inorganic Compounds"
10124-50-2,POTASSIUM ARSENITE,61,"Salts, Basic"
10137-69-6,CYCLOHEXENYLTRICHLOROSILANE,22;34,"Chlorosilanes;Hydrocarbons, Aliphatic Unsaturated"
10137-74-3,CALCIUM CHLORATE,50;61;68,"Oxidizing Agents, Strong;Salts, Basic;Water and Aqueous Solutions"
10141-05-6,COBALT NITRATE,43,"Nitrate and Nitrite Compounds, Inorganic"
10143-23-4,"2,3-DIMETHYL-1-PENTANOL",8,Alcohols and Polyols
10169-02-5,C.I. ACID RED 97,17;55;61;66,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Phenols and Cresols;Salts, Basic;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
10192-30-0,"AMMONIUM BISULFITE, SOLID",60;65;68,"Salts, Acidic;Sulfite and Thiosulfate Salts;Water and Aqueous Solutions"
10196-04-0,AMMONIUM SULFITE,60;65,"Salts, Acidic;Sulfite and Thiosulfate Salts"
102-01-2,ACETOACETANILIDE,12;13;38,"Amides and Imides;Amines, Aromatic;Ketones"
102-06-7,"1,3-DIPHENYLGUANIDINE",14,"Amines, Phosphines, and Pyridines"
102-08-9,THIOCARBANILIDE,12;35;64,"Amides and Imides;Hydrocarbons, Aromatic;Sulfides, Organic"
102-16-9,BENZYL PHENYLACETATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
102-27-2,N-ETHYL-M-TOLUIDINE,13,"Amines, Aromatic"
102-28-3,M-AMINOACETANILIDE,12;13,"Amides and Imides;Amines, Aromatic"
102-36-3,"ISOCYANIC ACID, 3,4-DICHLOROPHENYL ESTER",16;37,Aryl Halides;Isocyanates and Isothiocyanates
102-50-1,M-CRESIDINE,13,"Amines, Aromatic"
102-54-5,FERROCENE,35;49,"Hydrocarbons, Aromatic;Organometallics"
102-67-0,TRIPROPYLALUMINUM,39,"Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes"
102-71-6,TRIETHANOLAMINE,8;14,"Alcohols and Polyols;Amines, Phosphines, and Pyridines"
102-81-8,DIBUTYLAMINOETHANOL,8;14,"Alcohols and Polyols;Amines, Phosphines, and Pyridines"
102-96-5,BETA-NITROSTYRENE,34;46,"Hydrocarbons, Aliphatic Unsaturated;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
10213-75-9,3-[(2-ETHYLHEXYL)OXY]PROPIONITRILE,28;45,Ethers;Nitriles
10222-01-2,"2,2-DIBROMO-3-NITRILOPROPIONAMIDE",12;31;45,Amides and Imides;Halogenated Organic Compounds;Nitriles
1024-57-3,HEPTACHLOR EPOXIDE,26;31;34,"Epoxides;Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated"
10241-05-1,MOLYBDENUM PENTACHLORIDE,32,Halogenating Agents
1025-15-6,TRIALLYL ISOCYANURATE,34;37,"Hydrocarbons, Aliphatic Unsaturated;Isocyanates and Isothiocyanates"
10265-92-6,METHAMIDOPHOS,5;27,"Acids, Weak;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
10277-43-7,LANTHANUM NITRATE HEXAHYDRATE,43,"Nitrate and Nitrite Compounds, Inorganic"
10290-12-7,COPPER ARSENITE,61,"Salts, Basic"
10294-26-5,SILVER SULFATE,42;47,"Metals, Less Reactive;Non-Redox-Active Inorganic Compounds"
103-09-3,ETHYLHEXYL ACETATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
103-23-1,BIS(2-ETHYLHEXYL) ADIPATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
103-30-0,TRANS-STILBENE,34,"Hydrocarbons, Aliphatic Unsaturated"
103-33-3,AZOBENZENE,17,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds"
103-50-4,DIBENZYL ETHER,28,Ethers
103-70-8,FORMANILIDE,12;13,"Amides and Imides;Amines, Aromatic"
103-75-3,ETHOXYDIHYDROPYRAN,1;28;34,"Acetals, Ketals, Hemiacetals, and Hemiketals;Ethers;Hydrocarbons, Aliphatic Unsaturated"
103-80-0,PHENYLACETYL CHLORIDE,7,"Acyl Halides, Sulfonyl Halides, and Chloroformates"
103-83-3,BENZYLDIMETHYLAMINE,14,"Amines, Phosphines, and Pyridines"
103-84-4,ACETANILIDE,12;13,"Amides and Imides;Amines, Aromatic"
103-85-5,PHENYLTHIOUREA,12,Amides and Imides
103-89-9,N-ACETYL-P-TOLUIDINE,12;13,"Amides and Imides;Amines, Aromatic"
103-90-2,4-HYDROXYACETANILIDE,12;55,Amides and Imides;Phenols and Cresols
1031-07-8,ENDOSULFAN SULFATE,27;31;34,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated"
1031-47-6,TRIAMIPHOS,14;17;27,"Amines, Phosphines, and Pyridines;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
10311-84-9,DIALIFOR,12;27;31,"Amides and Imides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Halogenated Organic Compounds"
10318-26-0,DIBROMODULCITOL,8;31,Alcohols and Polyols;Halogenated Organic Compounds
10325-94-7,CADMIUM NITRATE,43,"Nitrate and Nitrite Compounds, Inorganic"
10326-21-3,MAGNESIUM CHLORATE,50,"Oxidizing Agents, Strong"
10326-24-6,ZINC ARSENITE,61,"Salts, Basic"
10326-27-9,BARIUM CHLORIDE DIHYDRATE,47,Non-Redox-Active Inorganic Compounds
1034-41-9,KEPONE ALCOHOL,8;31,Alcohols and Polyols;Halogenated Organic Compounds
10347-54-3,"1,4-BIS(METHYLISOCYANATE)CYCLOHEXANE",37,Isocyanates and Isothiocyanates
10353-73-8,"ISOOCTYL ACID PHOSPHATE, [CORROSIVE LIQUID]",5;27,"Acids, Weak;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
10356-76-0,5-FLUORO-2&#39;-DEOXYCYTIDINE,8;12;14;16,"Alcohols and Polyols;Amides and Imides;Amines, Phosphines, and Pyridines;Aryl Halides"
10361-37-2,BARIUM CHLORIDE,47,Non-Redox-Active Inorganic Compounds
10361-95-2,ZINC CHLORATE,50,"Oxidizing Agents, Strong"
10377-60-3,MAGNESIUM NITRATE,43,"Nitrate and Nitrite Compounds, Inorganic"
10377-66-9,MANGANESE NITRATE,43,"Nitrate and Nitrite Compounds, Inorganic"
10380-29-7,"CUPRIC SULFATE, AMMONIATED",14;60,"Amines, Phosphines, and Pyridines;Salts, Acidic"
10386-84-2,"4,4&#39;-DIBROMOOCTAFLUOROBIPHENYL",16,Aryl Halides
104-01-8,4-METHOXYPHENYLACETIC ACID,2;28,"Acids, Carboxylic;Ethers"
