CAS_Number,Chemical_Name,Reactive_Group_IDs,Reactive_Groups
147-24-0,DIPHENHYDRAMINE HYDROCHLORIDE,28;35;60,"Ethers;Hydrocarbons, Aromatic;Salts, Acidic"
147-47-7,"1,2-DIHYDRO-2,2,4-TRIMETHYLQUINOLINE",14;34;35,"Amines, Phosphines, and Pyridines;Hydrocarbons, Aliphatic Unsaturated;Hydrocarbons, Aromatic"
147-94-4,CYTARABINE,8;14;28;34,"Alcohols and Polyols;Amines, Phosphines, and Pyridines;Ethers;Hydrocarbons, Aliphatic Unsaturated"
14708-14-6,NICKEL FLUOROBORATE,47;68,Non-Redox-Active Inorganic Compounds;Water and Aqueous Solutions
1477-42-5,2-AMINO-4-METHYLBENZOTHIAZOLE,14;38,"Amines, Phosphines, and Pyridines;Ketones"
1477-55-0,"M-XYLENE-ALPHA,ALPHA&#39;-DIAMINE",13,"Amines, Aromatic"
14797-65-0,"NITRITES, INORGANIC, N.O.S.",43,"Nitrate and Nitrite Compounds, Inorganic"
14797-73-0,"PERCHLORATE, N.O.S.",50,"Oxidizing Agents, Strong"
148-01-6,DINITOLMIDE,12;13;46,"Amides and Imides;Amines, Aromatic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
148-18-5,SODIUM DIETHYLDITHIOCARBAMATE,67,Thiocarbamate Esters and Salts/Dithiocarbamate Esters and Salts
148-24-3,8-HYDROXYQUINOLINE,14;55,"Amines, Phosphines, and Pyridines;Phenols and Cresols"
148-65-2,CHLOROTHEN,14;16;64,"Amines, Phosphines, and Pyridines;Aryl Halides;Sulfides, Organic"
148-79-8,THIABENDAZOLE,14;35;64,"Amines, Phosphines, and Pyridines;Hydrocarbons, Aromatic;Sulfides, Organic"
148-82-3,MELPHALAN,2;14;31,"Acids, Carboxylic;Amines, Phosphines, and Pyridines;Halogenated Organic Compounds"
14807-96-6,TALC,47,Non-Redox-Active Inorganic Compounds
14866-68-3,"CHLORATE, N.O.S., WET",50;68,"Oxidizing Agents, Strong;Water and Aqueous Solutions"
14882-18-9,BISMUTH SUBSALICYLATE,54;61,"Phenolic Salts;Salts, Basic"
149-30-4,2-MERCAPTOBENZOTHIAZOLE,14;64,"Amines, Phosphines, and Pyridines;Sulfides, Organic"
149-57-5,ETHYLHEXOIC ACID,2,"Acids, Carboxylic"
149-91-7,GALLIC ACID,2;5;55,"Acids, Carboxylic;Acids, Weak;Phenols and Cresols"
14901-07-6,BETA-IONONE,23;34;38,"Conjugated Dienes;Hydrocarbons, Aliphatic Unsaturated;Ketones"
14915-07-2,"PEROXIDES, INORGANIC, N.O.S.",50,"Oxidizing Agents, Strong"
14977-61-8,CHROMIUM OXYCHLORIDE,32;50,"Halogenating Agents;Oxidizing Agents, Strong"
1498-40-4,"ETHYL PHOSPHONOUS DICHLORIDE, ANHYDROUS",7,"Acyl Halides, Sulfonyl Halides, and Chloroformates"
1498-51-7,ETHYL PHOSPHORODICHLORIDATE,7,"Acyl Halides, Sulfonyl Halides, and Chloroformates"
1498-54-0,"N,N-DIETHYL PHOSPHORAMIDIC DICHLORIDE",7;12,"Acyl Halides, Sulfonyl Halides, and Chloroformates;Amides and Imides"
1498-60-8,ISOPROPYLPHOSPHONOTHIOIC DICHLORIDE,7;66,"Acyl Halides, Sulfonyl Halides, and Chloroformates;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
150-13-0,P-AMINOBENZOIC ACID,2;13;14,"Acids, Carboxylic;Amines, Aromatic;Amines, Phosphines, and Pyridines"
150-38-9,"ETHYLENEDIAMINE TETRAACETIC ACID, TRISODIUM SALT",14;61,"Amines, Phosphines, and Pyridines;Salts, Basic"
150-50-5,MERPHOS,64;66,"Sulfides, Organic;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
150-68-5,MONURON,12;16,Amides and Imides;Aryl Halides
150-69-6,DULCIN,12;13,"Amides and Imides;Amines, Aromatic"
150-76-5,HYDROQUINONE MONOMETHYL ETHER,28;55,Ethers;Phenols and Cresols
150-78-7,"1,4-DIMETHOXYBENZENE",28,Ethers
15005-97-7,3-(2-HYDROXYETHOXY)-4-PYRROLIDIN-1-YL BENZENEDIAZONIUM ZINC CHLORIDE,8;14;17;25;28;35;60,"Alcohols and Polyols;Amines, Phosphines, and Pyridines;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Diazonium Salts;Ethers;Hydrocarbons, Aromatic;Salts, Acidic"
1504-74-1,O-METHOXYCINNAMALDEHYDE,9;28;34;35,"Aldehydes;Ethers;Hydrocarbons, Aliphatic Unsaturated;Hydrocarbons, Aromatic"
1506-38-3,DIOCTYL ACID PYROPHOSPHATE,5;15;27,"Acids, Weak;Anhydrides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
15096-52-3,SODIUM ALUMINUM FLUORIDE,61,"Salts, Basic"
151-21-3,"DODECYL SULFATE, [SODIUM SALT]",33;61,"Hydrocarbons, Aliphatic Saturated;Salts, Basic"
151-38-2,METHOXYETHYLMERCURIC ACETATE,49,Organometallics
151-50-8,POTASSIUM CYANIDE,19;24;68,"Bases, Weak;Cyanides, Inorganic;Water and Aqueous Solutions"
15110-74-4,"2,5-DINITRO-9H-FLUORENE",35;46,"Hydrocarbons, Aromatic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
15121-84-3,O-NITROPHENETHYL ALCOHOL,8;46,"Alcohols and Polyols;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
15181-46-1,"BISULFITES, AQUEOUS SOLUTION, N.O.S.",65;68,Sulfite and Thiosulfate Salts;Water and Aqueous Solutions
152-16-9,"DIPHOSPHORAMIDE, OCTAMETHYL-",14;27,"Amines, Phosphines, and Pyridines;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
1522-92-5,"3-BROMO-2,2-BIS(BROMOMETHYL)PROPANOL",8;31,Alcohols and Polyols;Halogenated Organic Compounds
15242-96-3,STEARATOCHROMIUM CHLORIDE COMPLEX,60,"Salts, Acidic"
15245-44-0,"LEAD STYPHNATE, [WETTED WITH &gt;= 20 % WATER OR MIXTURE OF ALCOHOL AND WATER]",46;54;68,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Phenolic Salts;Water and Aqueous Solutions"
15271-41-7,"BICYCLO[2.2.1]HEPTANE-2-CARBONITRILE, 5-CHLORO-6-[[[(METHYLAMINO)CABONYL]OXY]IMINO]-, [1S-(1ALPHA,2BETA,4ALPHA,5ALPHA,6E)]-",20;31;45;52,Carbamates;Halogenated Organic Compounds;Nitriles;Oximes
15283-51-9,FERROUS FLUOROBORATE,59;68,"Reducing Agents, Weak;Water and Aqueous Solutions"
153-78-6,2-AMINOFLUORENE,13,"Amines, Aromatic"
153-94-6,D(+)-TRYPTOPHAN,60,"Salts, Acidic"
15339-36-3,"MANGANESE, BIS(DIMETHYLCARBAMODITHIOATO-S,S&#39;)-",67,Thiocarbamate Esters and Salts/Dithiocarbamate Esters and Salts
15385-57-6,"MERCUROUS IODIDE, [SOLID]",42;47,"Metals, Less Reactive;Non-Redox-Active Inorganic Compounds"
15385-58-7,MERCUROUS BROMIDE,42;47,"Metals, Less Reactive;Non-Redox-Active Inorganic Compounds"
154-41-6,PHENYLPROPANOLAMINE HYDROCHLORIDE,8;35;60,"Alcohols and Polyols;Hydrocarbons, Aromatic;Salts, Acidic"
154-42-7,6-THIOGUANINE,14;38,"Amines, Phosphines, and Pyridines;Ketones"
154-69-8,TRIPELENAMINE HYDROCHLORIDE,14;35;60,"Amines, Phosphines, and Pyridines;Hydrocarbons, Aromatic;Salts, Acidic"
154-93-8,"1,3-BIS(2-CHLOROETHYL)-1-NITROSOUREA",12;17;31;46,"Amides and Imides;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Halogenated Organic Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
15457-98-4,ZINC BISULFITE SOLUTION,65;68,Sulfite and Thiosulfate Salts;Water and Aqueous Solutions
15481-70-6,"2,6-TOLUENEDIAMINE DIHYDROCHLORIDE",60,"Salts, Acidic"
15512-36-4,CALCIUM DITHIONITE,15,Anhydrides
1552-42-7,CRYSTAL VIOLET LACTONE,14;27;35,"Amines, Phosphines, and Pyridines;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aromatic"
15520-11-3,"DI-(4-TERT-BUTYLCYCLOHEXYL)PEROXYDICARBONATE, [TECHNICALLY PURE]",53,"Peroxides, Organic"
15541-45-4,"BROMATES, INORGANIC, N.O.S.",50,"Oxidizing Agents, Strong"
15545-97-8,"2,2&#39;-AZODI(2,4-DIMETHYL-4-METHOXYVALERONITRILE)",17;28;45,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Ethers;Nitriles"
15557-00-3,3-CHLORO-4-DIETHYLAMINOBENZENEDIAZONIUM ZINC CHLORIDE,13;16;17;25;60,"Amines, Aromatic;Aryl Halides;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Diazonium Salts;Salts, Acidic"
1558-25-4,TRICHLORO(CHLOROMETHYL)SILANE,22;31,Chlorosilanes;Halogenated Organic Compounds
156-10-5,P-NITROSODIPHENYLAMINE,13;46,"Amines, Aromatic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
156-62-7,"CALCIUM CYANAMIDE, WITH MORE THAN 0.1% CALCIUM CARBIDE",24;61,"Cyanides, Inorganic;Salts, Basic"
1561-49-5,"DICYCLOHEXYL PEROXYDICARBONATE, [TECHNICALLY PURE]",53,"Peroxides, Organic"
1562-94-3,P-AZOXYANISOLE,17;19;28;35,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Bases, Weak;Ethers;Hydrocarbons, Aromatic"
1563-38-8,CARBOFURAN PHENOL,28;55,Ethers;Phenols and Cresols
1563-66-2,CARBOFURAN,20;28,Carbamates;Ethers
15630-89-4,SODIUM PERCARBONATE,21;50;61,"Carbonate Salts;Oxidizing Agents, Strong;Salts, Basic"
15646-96-5,"2,4,4-TRIMETHYLHEXAMETHYLENE DIISOCYANATE",37,Isocyanates and Isothiocyanates
15663-27-1,PLATINOL,61,"Salts, Basic"
15699-18-0,NICKEL AMMONIUM SULFATE,51;60,"Oxidizing Agents, Weak;Salts, Acidic"
1570-64-5,P-CHLORO-O-CRESOL,16;55,Aryl Halides;Phenols and Cresols
1571-08-0,METHYL-P-FORMYLBENZOATE,9;27,"Aldehydes;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
15715-41-0,DIETHYL METHYLPHOSPHONITE,14;59,"Amines, Phosphines, and Pyridines;Reducing Agents, Weak"
15791-78-3,DISPERSE BLUE 27,14;38;46;55,"Amines, Phosphines, and Pyridines;Ketones;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Phenols and Cresols"
15805-73-9,VINYL CARBAMATE,20;34,"Carbamates;Hydrocarbons, Aliphatic Unsaturated"
1582-09-8,TRIFLURALIN,13;30;46,"Amines, Aromatic;Fluorinated Organic Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
15825-70-4,"MANITOL HEXANITRATE, [WET WITH &gt;= 40 % WATER OR MIXTURE OF ALCOHOL AND WATER]",46;68,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Water and Aqueous Solutions"
15829-53-5,MERCURY OXIDE,42;51,"Metals, Less Reactive;Oxidizing Agents, Weak"
15834-33-0,PHOSPHORODITHIOIC ACID ALCOHOL,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
15950-66-0,"2,3,4-TRICHLOROPHENOL",5;16;55,"Acids, Weak;Aryl Halides;Phenols and Cresols"
1596-84-5,"SUCCINIC ACID 2,2-DIMETHYLHYDRAZIDE",2;12;17,"Acids, Carboxylic;Amides and Imides;Azo, Diazo, Azido, Hydrazine, and Azide Compounds"
15972-60-8,ALACHLOR,12;13;31,"Amides and Imides;Amines, Aromatic;Halogenated Organic Compounds"
1600-27-7,MERCURY ACETATE,61,"Salts, Basic"
16039-52-4,COPPER LACTATE,8;61,"Alcohols and Polyols;Salts, Basic"
16051-77-7,ISOSORBIDE-5-MONONITRATE,8;46,"Alcohols and Polyols;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
1606-67-3,1-AMINOPYRENE,13;35,"Amines, Aromatic;Hydrocarbons, Aromatic"
16066-38-9,DI-N-PROPYL PEROXYDICARBONATE,53,"Peroxides, Organic"
16071-86-6,C.I. DIRECT BROWN 95,17;55;61,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Phenols and Cresols;Salts, Basic"
16091-18-2,DI(N-OCTYL)TIN MALEATE,34;49,"Hydrocarbons, Aliphatic Unsaturated;Organometallics"
16110-51-3,CHROMOGLICIC ACID,2;8;38,"Acids, Carboxylic;Alcohols and Polyols;Ketones"
16111-62-9,"DI-(2-ETHYLHEXYL) PEROXYDICARBONATE, [TECHNICALLY PURE]",53,"Peroxides, Organic"
1615-80-1,"HYDRAZINE, 1,2-DIETHYL-",17;19,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Bases, Weak"
16215-49-9,BUTYL PEROXYDICARBONATE,53,"Peroxides, Organic"
1622-32-8,"ETHANESULFONYL CHLORIDE, 2-CHLORO-",7;31,"Acyl Halides, Sulfonyl Halides, and Chloroformates;Halogenated Organic Compounds"
1623-24-1,ISOPROPYL ACID PHOSPHATE,5;27,"Acids, Weak;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
16238-56-5,7-BROMOMETHYL-12-METHYLBENZ(A)ANTHRACENE,31;35,"Halogenated Organic Compounds;Hydrocarbons, Aromatic"
16323-43-6,"3,3&#39;-(1,4-PHENYLENE)BIS-2-PROPENOIC ACID",2;6;34,"Acids, Carboxylic;Acrylates and Acrylic Acids;Hydrocarbons, Aliphatic Unsaturated"
1634-78-2,MALAOXON,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
1642-54-2,DIETHYLCARBAMAZINE CITRATE,8;12;14,"Alcohols and Polyols;Amides and Imides;Amines, Phosphines, and Pyridines"
1643-20-5,DIMETHYLDODECYLAMINE-N-OXIDE,14;51,"Amines, Phosphines, and Pyridines;Oxidizing Agents, Weak"
16452-01-0,O-CRESIDINE,13,"Amines, Aromatic"
1646-75-9,ALDICARB OXIME,52;64,"Oximes;Sulfides, Organic"
1646-88-4,ALDICARB SULFONE,20;52;66,"Carbamates;Oximes;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
1649-08-7,"1,2-DICHLORO-1,1-DIFLUOROETHANE",30,Fluorinated Organic Compounds
16529-56-9,2-METHYL-3-BUTENENITRILE,34;45,"Hydrocarbons, Aliphatic Unsaturated;Nitriles"
16543-55-8,N-NITROSONORNICOTINE,14;17;46,"Amines, Phosphines, and Pyridines;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
16561-29-8,12-O-TETRADECANOYLPHORBOL-13-ACETATE,8;27;34,"Alcohols and Polyols;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated"
16721-80-5,"SODIUM HYDROSULFIDE, SOLID, WITH LESS THAN 25% WATER OF CRYSTALLIZATION",19;63;68,"Bases, Weak;Sulfides, Inorganic;Water and Aqueous Solutions"
16731-55-8,POTASSIUM METABISULFITE,65,Sulfite and Thiosulfate Salts
1675-54-3,BISPHENOL A DIGLYCIDYL ETHER,26;28,Epoxides;Ethers
16752-77-5,METHOMYL,20;64,"Carbamates;Sulfides, Organic"
1684-40-8,"1,2,3,4-TETRAHYDRO-9-AMINOACRIDINE HYDROCHLORIDE MONOHYDRATE",60,"Salts, Acidic"
16853-85-3,LITHIUM ALUMINUM HYDRIDE,39,"Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes"
16871-71-9,ZINC FLUOROSILICATE,32;61,"Halogenating Agents;Salts, Basic"
16871-90-2,POTASSIUM FLUOROSILICATE,32;61,"Halogenating Agents;Salts, Basic"
16872-11-0,FLUOROBORIC ACID,3,"Acids, Strong Non-oxidizing"
1689-84-5,BROMOXYNIL,8;16;45,Alcohols and Polyols;Aryl Halides;Nitriles
1689-99-2,"BROMOXYNIL OCTANOATE, [SOLID]",16;27;45,"Aryl Halides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Nitriles"
16890-85-0,CHLOROTHIOFORMIC ACID,7;64,"Acyl Halides, Sulfonyl Halides, and Chloroformates;Sulfides, Organic"
16893-85-9,SODIUM FLUOROSILICATE,32;61,"Halogenating Agents;Salts, Basic"
16919-19-0,AMMONIUM FLUOROSILICATE,32;61,"Halogenating Agents;Salts, Basic"
16923-95-8,ZIRCONIUM POTASSIUM FLUORIDE,60,"Salts, Acidic"
1693-71-6,TRIALLYL BORATE,27;34,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated"
16938-22-0,"2,2,4-TRIMETHYLHEXAMETHYLENE DIISOCYANATE",37,Isocyanates and Isothiocyanates
1694-09-3,BENZYL VIOLET 4B,14;23;57;61;66,"Amines, Phosphines, and Pyridines;Conjugated Dienes;Quaternary Ammonium and Phosphonium Salts;Salts, Basic;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
16940-66-2,SODIUM BOROHYDRIDE,39,"Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes"
16940-81-1,HEXAFLUOROPHOSPHORIC ACID,3;29;68,"Acids, Strong Non-oxidizing;Fluoride Salts, Soluble;Water and Aqueous Solutions"
16941-12-1,"CHLOROPLATINIC ACID, SOLID",5,"Acids, Weak"
16949-15-8,LITHIUM BOROHYDRIDE,39,"Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes"
16949-65-8,MAGNESIUM FLUOROSILICATE,61,"Salts, Basic"
16961-83-4,FLUOROSILICIC ACID,3;29;68,"Acids, Strong Non-oxidizing;Fluoride Salts, Soluble;Water and Aqueous Solutions"
16962-07-5,ALUMINUM BOROHYDRIDE,39,"Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes"
17014-71-0,POTASSIUM PEROXIDE,18;50,"Bases, Strong;Oxidizing Agents, Strong"
17026-81-2,3-AMINO-4-ETHOXYACETANILIDE,12;13,"Amides and Imides;Amines, Aromatic"
1703-58-8,"1,2,3,4-BUTANETETRACARBOXYLIC ACID",2,"Acids, Carboxylic"
1705-60-8,"2,2-DI-(4,4-DI-TERT-BUTYLPEROXYCYCLOHEXYL)PROPANE",1;53,"Acetals, Ketals, Hemiacetals, and Hemiketals;Peroxides, Organic"
17070-45-0,ICR 191,14;16;28;31;60,"Amines, Phosphines, and Pyridines;Aryl Halides;Ethers;Halogenated Organic Compounds;Salts, Acidic"
17084-08-1,"FLUOROSILICATES, N.O.S.",29,"Fluoride Salts, Soluble"
1712-87-4,DI-(2-METHYLBENZOYL)PEROXIDE,53,"Peroxides, Organic"
1719-05-7,D&amp;C ORANGE 5 ZIRCONIUM LAKE,8;14;35,"Alcohols and Polyols;Amines, Phosphines, and Pyridines;Hydrocarbons, Aromatic"
17341-40-1,"1,1-DIMETHYL-1-(2-HYDROXYPROPYLAMINE)METHACRYLIMIDE",8;12;17;34;57,"Alcohols and Polyols;Amides and Imides;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Hydrocarbons, Aliphatic Unsaturated;Quaternary Ammonium and Phosphonium Salts"
17369-59-4,3-PROPYLIDENE PHTHALIDE,27;34,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated"
1737-93-5,"3,5-DICHLORO-2,4,6-TRIFLUOROPYRIDINE",14;16,"Amines, Phosphines, and Pyridines;Aryl Halides"
1738-25-6,DIMETHYLAMINOPROPIONITRILE,14;45,"Amines, Phosphines, and Pyridines;Nitriles"
17418-58-5,DISPERSE RED 60,14;28;38;55,"Amines, Phosphines, and Pyridines;Ethers;Ketones;Phenols and Cresols"
17433-31-7,1-ACETYL-2-PICOLINOYLHYDRAZINE,12;14;17;35,"Amides and Imides;Amines, Phosphines, and Pyridines;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Hydrocarbons, Aromatic"
1746-01-6,"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN (TCDD)",16;28,Aryl Halides;Ethers
1747-60-0,2-AMINO-6-METHOXYBENZOTHIAZOLE,14;64,"Amines, Phosphines, and Pyridines;Sulfides, Organic"
1752-30-3,ACETONE THIOSEMICARBAZIDE,14;17,"Amines, Phosphines, and Pyridines;Azo, Diazo, Azido, Hydrazine, and Azide Compounds"
17557-23-2,NEOPENTYL GLYCOL DIGLYCIDYL ETHER,26;28,Epoxides;Ethers
1758-73-2,THIOUREA DIOXIDE,5;12;59,"Acids, Weak;Amides and Imides;Reducing Agents, Weak"
1761-71-3,"4,4&#39;-DIAMINODICYCLOHEXYL METHANE",14,"Amines, Phosphines, and Pyridines"
1762-95-4,AMMONIUM THIOCYANATE,58;60;68,"Reducing Agents, Strong;Salts, Acidic;Water and Aqueous Solutions"
17639-93-9,METHYL 2-CHLOROPROPIONATE,27;31,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Halogenated Organic Compounds"
17673-25-5,PHORBOL,8;34,"Alcohols and Polyols;Hydrocarbons, Aliphatic Unsaturated"
17700-09-3,"2,3,4-TRICHLORONITROBENZENE",16;46,"Aryl Halides;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
17702-41-9,DECABORANE,58,"Reducing Agents, Strong"
17702-57-7,FORMPARANATE,14;20,"Amines, Phosphines, and Pyridines;Carbamates"
1777-84-0,3-NITRO-P-ACETOPHENETIDE,12;46,"Amides and Imides;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
17804-35-2,BENOMYL,12;14;20,"Amides and Imides;Amines, Phosphines, and Pyridines;Carbamates"
17831-71-9,TETRAETHYLENE GLYCOL DIACRYLATE,27;28;34,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers;Hydrocarbons, Aliphatic Unsaturated"
17861-62-0,NICKEL NITRITE,43,"Nitrate and Nitrite Compounds, Inorganic"
17924-92-4,ZEARALENONE,27;34;38;55,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated;Ketones;Phenols and Cresols"
17928-28-8,METHYLTRIS(TRIMETHYLSILOXY)SILANE,62,Siloxanes
1794-86-1,PHOSGENE OXIME,5;31;52,"Acids, Weak;Halogenated Organic Compounds;Oximes"
1795-48-8,ISOPROPYL ISOCYANATE,37,Isocyanates and Isothiocyanates
180348-60-1,ISOHEPTYL ACETATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
1806-54-8,TRI-N-OCTYL PHOSPHATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
18130-74-0,"HYDROGENDIFLUORIDES, N.O.S.",5;29,"Acids, Weak;Fluoride Salts, Soluble"
18168-01-9,"N&#39;-ETHYL-N,N-DIPHENYLUREA",12;13,"Amides and Imides;Amines, Aromatic"
1817-73-8,"2-BROMO-4,6-DINITROANILINE",13;16;46,"Amines, Aromatic;Aryl Halides;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
1825-21-4,PENTACHLOROANISOLE,16;28,Aryl Halides;Ethers
18282-10-5,TIN(IV) OXIDE,47,Non-Redox-Active Inorganic Compounds
1836-75-5,NITROFEN,16;28;46,"Aryl Halides;Ethers;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
1838-94-4,ISOPRENE OXIDE,26;34;56,"Epoxides;Hydrocarbons, Aliphatic Unsaturated;Polymerizable Compounds"
1843-48-7,TRIS(CARBAMOYLMETHYL) ISOCYANURATE,20;37,Carbamates;Isocyanates and Isothiocyanates
18463-85-9,6-DIMETHYLAMINOPHENYLAZOBENZOTHIAZOLE,14;17;64,"Amines, Phosphines, and Pyridines;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Sulfides, Organic"
1854-26-8,DIMETHYLOLDIHYDROXYETHYLENEUREA,8;12;68,Alcohols and Polyols;Amides and Imides;Water and Aqueous Solutions
1861-40-1,BENFLURALIN,14;30;46,"Amines, Phosphines, and Pyridines;Fluorinated Organic Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
1863-63-4,AMMONIUM BENZOATE,60,"Salts, Acidic"
18654-17-6,"OIL, [CASHEW]",27;34;55,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Hydrocarbons, Aliphatic Unsaturated;Phenols and Cresols"
18708-70-8,"2,4,6-TRICHLORONITROBENZENE",16;46,"Aryl Halides;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
1873-29-6,ISOBUTYL ISOCYANATE,37,Isocyanates and Isothiocyanates
1879-09-0,"2,4-DIMETHYL-6-TERT-BUTYL PHENOL",55,Phenols and Cresols
18810-58-7,"BARIUM AZIDE, WETTED WITH NOT LESS THAN 50% WATER",17;68,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Water and Aqueous Solutions"
1888-71-7,HEXACHLOROPROPENE,31;34,"Halogenated Organic Compounds;Hydrocarbons, Aliphatic Unsaturated"
18883-66-4,STREPTOZOCIN,8;14;46,"Alcohols and Polyols;Amines, Phosphines, and Pyridines;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
189-55-9,"DIBENZ[A,I]PYRENE",35,"Hydrocarbons, Aromatic"
189-64-0,"DIBENZO(A,H)PYRENE",35,"Hydrocarbons, Aromatic"
1897-45-6,CHLOROTHALONIL,16;45,Aryl Halides;Nitriles
19010-66-3,LEAD DIMETHYLDITHIOCARBAMATE,49;67,Organometallics;Thiocarbamate Esters and Salts/Dithiocarbamate Esters and Salts
19044-88-3,ORYZALIN,14;46;66,"Amines, Phosphines, and Pyridines;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
191-24-2,BENZO[GHI]PERYLENE,35,"Hydrocarbons, Aromatic"
191-30-0,"DIBENZO(A,L)PYRENE",35,"Hydrocarbons, Aromatic"
1910-42-5,PARAQUAT DICHLORIDE,57,Quaternary Ammonium and Phosphonium Salts
1912-24-9,ATRAZINE,14;16,"Amines, Phosphines, and Pyridines;Aryl Halides"
19120-62-8,TRI-ISOBUTYL VANADATE,61,"Salts, Basic"
1918-00-9,DICAMBA,2;16;28;68,"Acids, Carboxylic;Aryl Halides;Ethers;Water and Aqueous Solutions"
1918-02-1,PICLORAM,2;14;16,"Acids, Carboxylic;Amines, Phosphines, and Pyridines;Aryl Halides"
1918-16-7,PROPACHLOR,12;13;31,"Amides and Imides;Amines, Aromatic;Halogenated Organic Compounds"
192-65-4,"DIBENZO(A,E)PYRENE",35,"Hydrocarbons, Aromatic"
192-97-2,BENZO[E]PYRENE,35,"Hydrocarbons, Aromatic"
19210-06-1,ZINC DITHIOPHOSPHATE,61,"Salts, Basic"
19222-41-4,AMMONIUM GLUCONATE,8;61,"Alcohols and Polyols;Salts, Basic"
19246-22-1,HEXAHYDROPHTHALIMIDE GLUTARIMIDE,12,Amides and Imides
1928-43-4,"2,4-D 2-ETHYLHEXYL ESTER",16;27;28,"Aryl Halides;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters;Ethers"
1929-82-4,NITRAPYRIN,14;16;31,"Amines, Phosphines, and Pyridines;Aryl Halides;Halogenated Organic Compounds"
